date,value
2017-10-20,36.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,34.0
2017-10-25,17.0
2017-10-26,0.0
2017-10-27,0.0
2017-10-28,20.0
2017-10-29,0.0
2017-10-30,34.0
2017-10-31,17.0
2017-11-01,35.0
2017-11-02,0.0
2017-11-03,35.0
2017-11-04,19.0
2017-11-05,19.0
2017-11-06,50.0
2017-11-07,17.0
2017-11-08,51.0
2017-11-09,51.0
2017-11-10,35.0
2017-11-11,19.0
2017-11-12,19.0
2017-11-13,50.0
2017-11-14,49.0
2017-11-15,33.0
2017-11-16,50.0
2017-11-17,17.0
2017-11-18,19.0
2017-11-19,0.0
2017-11-20,17.0
2017-11-21,17.0
2017-11-22,17.0
2017-11-23,0.0
2017-11-24,17.0
2017-11-25,58.0
2017-11-26,0.0
2017-11-27,81.0
2017-11-28,83.0
2017-11-29,0.0
2017-11-30,17.0
2017-12-01,35.0
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,50.0
2017-12-05,17.0
2017-12-06,17.0
2017-12-07,17.0
2017-12-08,18.0
2017-12-09,20.0
2017-12-10,19.0
2017-12-11,17.0
2017-12-12,49.0
2017-12-13,17.0
2017-12-14,0.0
2017-12-15,71.0
2017-12-16,20.0
2017-12-17,0.0
2017-12-18,0.0
2017-12-19,17.0
2017-12-20,35.0
2017-12-21,18.0
2017-12-22,19.0
2017-12-23,62.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,38.0
2017-12-27,72.0
2017-12-28,18.0
2017-12-29,37.0
2017-12-30,40.0
2017-12-31,0.0
2018-01-01,21.0
2018-01-02,35.0
2018-01-03,0.0
2018-01-04,17.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,37.0
2018-01-08,16.0
2018-01-09,16.0
2018-01-10,17.0
2018-01-11,17.0
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,19.0
2018-01-15,50.0
2018-01-16,0.0
2018-01-17,16.0
2018-01-18,33.0
2018-01-19,0.0
2018-01-20,19.0
2018-01-21,0.0
2018-01-22,48.0
2018-01-23,49.0
2018-01-24,48.0
2018-01-25,33.0
2018-01-26,68.0
2018-01-27,19.0
2018-01-28,0.0
2018-01-29,81.0
2018-01-30,64.0
2018-01-31,32.0
2018-02-01,17.0
2018-02-02,17.0
2018-02-03,56.0
2018-02-04,55.0
2018-02-05,16.0
2018-02-06,32.0
2018-02-07,32.0
2018-02-08,33.0
2018-02-09,51.0
2018-02-10,19.0
2018-02-11,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,33.0
2018-02-15,0.0
2018-02-16,17.0
2018-02-17,19.0
2018-02-18,37.0
2018-02-19,16.0
2018-02-20,32.0
2018-02-21,16.0
2018-02-22,16.0
2018-02-23,50.0
2018-02-24,0.0
2018-02-25,18.0
2018-02-26,48.0
2018-02-27,16.0
2018-02-28,32.0
2018-03-01,96.0
2018-03-02,100.0
2018-03-03,0.0
2018-03-04,18.0
2018-03-05,16.0
2018-03-06,48.0
2018-03-07,16.0
2018-03-08,33.0
2018-03-09,34.0
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,48.0
2018-03-13,16.0
2018-03-14,47.0
2018-03-15,16.0
2018-03-16,33.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,81.0
2018-03-20,0.0
2018-03-21,32.0
2018-03-22,0.0
2018-03-23,0.0
2018-03-24,38.0
2018-03-25,76.0
2018-03-26,16.0
2018-03-27,16.0
