date,NFLX stock
2016-09-11,3
2016-09-12,12
2016-09-13,12
2016-09-14,21
2016-09-15,12
2016-09-16,13
2016-09-17,3
2016-09-18,0
2016-09-19,12
2016-09-20,13
2016-09-21,14
2016-09-22,11
2016-09-23,14
2016-09-24,1
2016-09-25,4
2016-09-26,13
2016-09-27,17
2016-09-28,12
2016-09-29,20
2016-09-30,11
2016-10-01,5
2016-10-02,6
2016-10-03,28
2016-10-04,25
2016-10-05,23
2016-10-06,18
2016-10-07,25
2016-10-08,1
2016-10-09,0
2016-10-10,13
2016-10-11,8
2016-10-12,20
2016-10-13,7
2016-10-14,15
2016-10-15,3
2016-10-16,1
2016-10-17,69
2016-10-18,100
2016-10-19,40
2016-10-20,29
2016-10-21,43
2016-10-22,9
2016-10-23,0
2016-10-24,34
2016-10-25,25
2016-10-26,27
2016-10-27,14
2016-10-28,20
2016-10-29,4
2016-10-30,0
2016-10-31,14
2016-11-01,19
2016-11-02,17
2016-11-03,15
2016-11-04,11
2016-11-05,1
2016-11-06,2
2016-11-07,13
2016-11-08,15
2016-11-09,22
2016-11-10,21
2016-11-11,16
2016-11-12,5
2016-11-13,1
2016-11-14,25
2016-11-15,24
2016-11-16,29
2016-11-17,18
2016-11-18,10
2016-11-19,1
2016-11-20,8
2016-11-21,13
2016-11-22,26
2016-11-23,9
2016-11-24,1
2016-11-25,4
2016-11-26,2
2016-11-27,2
2016-11-28,7
2016-11-29,9
2016-11-30,14
2016-12-01,15
2016-12-02,14
2016-12-03,1
2016-12-04,2
2016-12-05,14
2016-12-06,16
2016-12-07,15
2016-12-08,20
2016-12-09,9
2016-12-10,4
2016-12-11,2
2016-12-12,11
2016-12-13,20
2016-12-14,13
2016-12-15,16
2016-12-16,11
2016-12-17,1
2016-12-18,1
2016-12-19,18
2016-12-20,16
2016-12-21,16
2016-12-22,6
2016-12-23,2
2016-12-24,4
2016-12-25,4
2016-12-26,0
2016-12-27,17
2016-12-28,12
2016-12-29,13
2016-12-30,9
2016-12-31,3
2017-01-01,4
2017-01-02,2
2017-01-03,14
2017-01-04,23
2017-01-05,16
2017-01-06,29
2017-01-07,3
2017-01-08,1
2017-01-09,21
2017-01-10,22
2017-01-11,16
2017-01-12,14
2017-01-13,18
2017-01-14,10
2017-01-15,3
2017-01-16,11
2017-01-17,24
2017-01-18,56
2017-01-19,80
2017-01-20,42
2017-01-21,8
2017-01-22,8
2017-01-23,26
2017-01-24,23
2017-01-25,29
2017-01-26,23
2017-01-27,23
2017-01-28,4
2017-01-29,1
2017-01-30,20
2017-01-31,11
2017-02-01,29
2017-02-02,16
2017-02-03,16
2017-02-04,2
2017-02-05,3
2017-02-06,17
2017-02-07,24
2017-02-08,13
2017-02-09,21
2017-02-10,17
2017-02-11,4
2017-02-12,2
2017-02-13,20
2017-02-14,15
2017-02-15,16
2017-02-16,22
2017-02-17,15
2017-02-18,3
2017-02-19,5
2017-02-20,3
2017-02-21,19
2017-02-22,16
2017-02-23,18
2017-02-24,24
2017-02-25,5
2017-02-26,1
2017-02-27,16
2017-02-28,15
2017-03-01,24
2017-03-02,16
2017-03-03,24
2017-03-04,4
2017-03-05,3
2017-03-06,23
2017-03-07,15
2017-03-08,11
2017-03-09,11
2017-03-10,13
2017-03-11,5
2017-03-12,2
2017-03-13,12
2017-03-14,14
2017-03-15,14
2017-03-16,14
2017-03-17,17
2017-03-18,4
2017-03-19,3
2017-03-20,12
2017-03-21,14
2017-03-22,19
2017-03-23,13
2017-03-24,19
2017-03-25,6
2017-03-26,4
2017-03-27,17
2017-03-28,14
2017-03-29,18
2017-03-30,11
2017-03-31,8
2017-04-01,6
2017-04-02,1
2017-04-03,9
2017-04-04,20
2017-04-05,10
2017-04-06,10
2017-04-07,18
2017-04-08,2
2017-04-09,1
2017-04-10,16
2017-04-11,22
2017-04-12,13
2017-04-13,18
2017-04-14,16
2017-04-15,3
2017-04-16,6
2017-04-17,78
2017-04-18,64
2017-04-19,29
2017-04-20,28
2017-04-21,15
2017-04-22,2
2017-04-23,2
2017-04-24,15
2017-04-25,29
2017-04-26,20
2017-04-27,20
2017-04-28,14
2017-04-29,5
2017-04-30,2
2017-05-01,25
2017-05-02,24
2017-05-03,23
2017-05-04,13
2017-05-05,17
2017-05-06,0
2017-05-07,3
2017-05-08,17
2017-05-09,19
2017-05-10,14
2017-05-11,18
2017-05-12,26
2017-05-13,3
2017-05-14,2
2017-05-15,15
2017-05-16,8
2017-05-17,21
2017-05-18,14
2017-05-19,11
2017-05-20,9
2017-05-21,2
2017-05-22,11
2017-05-23,12
2017-05-24,21
2017-05-25,27
2017-05-26,18
2017-05-27,1
2017-05-28,5
2017-05-29,7
