date,NVDA stock
2018-02-13,78
2018-02-14,81
2018-02-15,88
2018-02-16,75
2018-02-17,17
2018-02-18,14
2018-02-19,15
2018-02-20,71
2018-02-21,64
2018-02-22,75
2018-02-23,69
2018-02-24,13
2018-02-25,13
2018-02-26,53
2018-02-27,66
2018-02-28,47
2018-03-01,63
2018-03-02,71
2018-03-03,16
2018-03-04,5
2018-03-05,61
2018-03-06,59
2018-03-07,68
2018-03-08,44
2018-03-09,62
2018-03-10,13
2018-03-11,12
2018-03-12,66
2018-03-13,45
2018-03-14,39
2018-03-15,55
2018-03-16,46
2018-03-17,8
2018-03-18,13
2018-03-19,54
2018-03-20,56
2018-03-21,64
2018-03-22,54
2018-03-23,53
2018-03-24,17
2018-03-25,6
2018-03-26,65
2018-03-27,96
2018-03-28,100
2018-03-29,82
2018-03-30,31
2018-03-31,11
2018-04-01,7
2018-04-02,61
2018-04-03,82
2018-04-04,68
2018-04-05,73
2018-04-06,51
2018-04-07,15
2018-04-08,10
2018-04-09,51
