date,Netflix,isPartial
2011-09-18,82,False
2011-09-19,87,False
2011-09-20,75,False
2011-09-21,64,False
2011-09-22,60,False
2011-09-23,61,False
2011-09-24,85,False
2011-09-25,93,False
2011-09-26,62,False
2011-09-27,58,False
2011-09-28,59,False
2011-09-29,57,False
2011-09-30,59,False
2011-10-01,85,False
2011-10-02,79,False
2011-10-03,56,False
2011-10-04,54,False
2011-10-05,52,False
2011-10-06,50,False
2011-10-07,54,False
2011-10-08,71,False
2011-10-09,100,False
2011-10-10,76,False
2011-10-11,61,False
2011-10-12,57,False
2011-10-13,54,False
2011-10-14,57,False
2011-10-15,73,False
2011-10-16,78,False
2011-10-17,56,False
2011-10-18,54,False
2011-10-19,54,False
2011-10-20,52,False
2011-10-21,55,False
2011-10-22,74,False
2011-10-23,74,False
2011-10-24,63,False
2011-10-25,65,False
2011-10-26,59,False
2011-10-27,55,False
2011-10-28,56,False
2011-10-29,76,False
2011-10-30,75,False
2011-10-31,58,False
2011-11-01,56,False
2011-11-02,56,False
2011-11-03,49,False
2011-11-04,55,False
2011-11-05,71,False
2011-11-06,75,False
2011-11-07,55,False
2011-11-08,49,False
2011-11-09,47,False
2011-11-10,48,False
2011-11-11,57,False
2011-11-12,72,False
2011-11-13,73,False
2011-11-14,53,False
2011-11-15,49,False
2011-11-16,51,False
2011-11-17,53,False
2011-11-18,55,False
2011-11-19,74,False
2011-11-20,74,False
2011-11-21,58,False
2011-11-22,55,False
2011-11-23,57,False
2011-11-24,56,False
2011-11-25,59,False
2011-11-26,77,False
2011-11-27,81,False
2011-11-28,75,False
2011-11-29,54,False
2011-11-30,53,False
2011-12-01,52,False
2011-12-02,55,False
2011-12-03,75,False
2011-12-04,76,False
2011-12-05,56,False
2011-12-06,54,False
2011-12-07,55,False
2011-12-08,54,False
2011-12-09,56,False
2011-12-10,77,False
2011-12-11,77,False
2011-12-12,58,False
2011-12-13,55,False
2011-12-14,55,False
2011-12-15,61,False
2011-12-16,63,False
2011-12-17,78,False
2011-12-18,78,False
2011-12-19,63,False
2011-12-20,64,False
2011-12-21,65,False
2011-12-22,64,False
2011-12-23,70,False
2011-12-24,83,False
2011-12-25,95,False
2011-12-26,90,False
2011-12-27,82,False
2011-12-28,80,False
2011-12-29,79,False
2011-12-30,82,False
2011-12-31,96,False
2012-01-01,94,False
2012-01-02,88,False
2012-01-03,71,False
2012-01-04,68,False
2012-01-05,67,False
2012-01-06,67,False
2012-01-07,88,False
2012-01-08,91,False
2012-01-09,78,False
2012-01-10,70,False
2012-01-11,66,False
2012-01-12,65,False
2012-01-13,68,False
2012-01-14,95,False
2012-01-15,96,False
2012-01-16,79,False
2012-01-17,65,False
2012-01-18,65,False
2012-01-19,63,False
2012-01-20,67,False
2012-01-21,97,False
2012-01-22,98,False
2012-01-23,69,False
2012-01-24,66,False
2012-01-25,64,False
2012-01-26,66,False
2012-01-27,69,False
2012-01-28,95,False
2012-01-29,97,False
2012-01-30,68,False
2012-01-31,64,False
2012-02-01,64,False
2012-02-02,62,False
2012-02-03,66,False
2012-02-04,94,False
2012-02-05,93,False
2012-02-06,64,False
2012-02-07,63,False
2012-02-08,65,False
2012-02-09,60,False
2012-02-10,67,False
2012-02-11,93,False
2012-02-12,91,False
2012-02-13,65,False
2012-02-14,62,False
2012-02-15,61,False
2012-02-16,62,False
2012-02-17,67,False
2012-02-18,91,False
2012-02-19,98,False
2012-02-20,78,False
2012-02-21,66,False
2012-02-22,64,False
2012-02-23,61,False
2012-02-24,66,False
2012-02-25,93,False
2012-02-26,94,False
2012-02-27,69,False
2012-02-28,63,False
2012-02-29,64,False
2012-03-01,66,False
