date,PACCAR,isPartial
2016-05-04,89,False
2016-05-05,51,False
2016-05-06,97,False
2016-05-07,27,False
2016-05-08,13,False
2016-05-09,73,False
2016-05-10,64,False
2016-05-11,60,False
2016-05-12,69,False
2016-05-13,48,False
2016-05-14,35,False
2016-05-15,22,False
2016-05-16,57,False
2016-05-17,72,False
2016-05-18,41,False
2016-05-19,77,False
2016-05-20,45,False
2016-05-21,22,False
2016-05-22,9,False
2016-05-23,49,False
2016-05-24,50,False
2016-05-25,46,False
2016-05-26,36,False
2016-05-27,61,False
2016-05-28,23,False
2016-05-29,32,False
2016-05-30,39,False
2016-05-31,53,False
2016-06-01,38,False
2016-06-02,63,False
2016-06-03,61,False
2016-06-04,37,False
2016-06-05,31,False
2016-06-06,69,False
2016-06-07,58,False
2016-06-08,70,False
2016-06-09,62,False
2016-06-10,41,False
2016-06-11,27,False
2016-06-12,22,False
2016-06-13,30,False
2016-06-14,23,False
2016-06-15,50,False
2016-06-16,31,False
2016-06-17,69,False
2016-06-18,18,False
2016-06-19,18,False
2016-06-20,67,False
2016-06-21,50,False
2016-06-22,55,False
2016-06-23,52,False
2016-06-24,61,False
2016-06-25,18,False
2016-06-26,41,False
2016-06-27,62,False
2016-06-28,51,False
2016-06-29,56,False
2016-06-30,60,False
2016-07-01,49,False
2016-07-02,18,False
2016-07-03,38,False
2016-07-04,12,False
2016-07-05,54,False
2016-07-06,42,False
2016-07-07,72,False
2016-07-08,56,False
2016-07-09,14,False
2016-07-10,9,False
2016-07-11,52,False
2016-07-12,48,False
2016-07-13,54,False
2016-07-14,59,False
2016-07-15,59,False
2016-07-16,38,False
2016-07-17,33,False
2016-07-18,82,False
2016-07-19,100,False
2016-07-20,49,False
2016-07-21,58,False
2016-07-22,50,False
2016-07-23,38,False
2016-07-24,33,False
2016-07-25,49,False
2016-07-26,57,False
2016-07-27,74,False
2016-07-28,62,False
2016-07-29,69,False
2016-07-30,48,False
2016-07-31,19,False
2016-08-01,45,False
2016-08-02,73,False
2016-08-03,54,False
2016-08-04,79,False
2016-08-05,48,False
2016-08-06,25,False
2016-08-07,25,False
2016-08-08,55,False
2016-08-09,83,False
2016-08-10,43,False
2016-08-11,38,False
2016-08-12,36,False
2016-08-13,40,False
2016-08-14,20,False
2016-08-15,72,False
2016-08-16,78,False
2016-08-17,31,False
2016-08-18,22,False
2016-08-19,22,False
2016-08-20,49,False
2016-08-21,10,False
2016-08-22,38,False
2016-08-23,47,False
2016-08-24,75,False
2016-08-25,45,False
2016-08-26,64,False
2016-08-27,43,False
2016-08-28,47,False
2016-08-29,16,False
2016-08-30,44,False
2016-08-31,48,False
2016-09-01,28,False
2016-09-02,33,False
2016-09-03,23,False
2016-09-04,5,False
2016-09-05,40,False
2016-09-06,55,False
2016-09-07,65,False
2016-09-08,69,False
2016-09-09,72,False
2016-09-10,28,False
2016-09-11,23,False
2016-09-12,45,False
2016-09-13,68,False
2016-09-14,67,False
2016-09-15,57,False
2016-09-16,37,False
2016-09-17,45,False
2016-09-18,31,False
2016-09-19,39,False
2016-09-20,54,False
2016-09-21,31,False
2016-09-22,48,False
2016-09-23,53,False
2016-09-24,23,False
2016-09-25,22,False
2016-09-26,55,False
2016-09-27,74,False
2016-09-28,39,False
2016-09-29,59,False
2016-09-30,65,False
2016-10-01,45,False
2016-10-02,26,False
2016-10-03,31,False
2016-10-04,46,False
2016-10-05,78,False
2016-10-06,39,False
2016-10-07,53,False
2016-10-08,27,False
2016-10-09,27,False
2016-10-10,75,False
2016-10-11,66,False
2016-10-12,63,False
2016-10-13,86,False
2016-10-14,77,False
2016-10-15,13,False
2016-10-16,31,False
2016-10-17,46,False
2016-10-18,42,False
2016-10-19,54,False
2016-10-20,82,False
2016-10-21,60,False
2016-10-22,27,False
2016-10-23,31,False
2016-10-24,65,False
2016-10-25,57,False
2016-10-26,50,False
2016-10-27,70,False
2016-10-28,45,False
2016-10-29,40,False
2016-10-30,31,False
2016-10-31,79,False
2016-11-01,72,False
2016-11-02,79,False
2016-11-03,74,False
2016-11-04,72,False
2016-11-05,27,False
2016-11-06,35,False
2016-11-07,73,False
2016-11-08,45,False
2016-11-09,53,False
2016-11-10,66,False
2016-11-11,53,False
2016-11-12,18,False
2016-11-13,35,False
2016-11-14,70,False
