date,PAYX stock
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,19
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,19
2017-10-17,19
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,19
2017-10-25,38
2017-10-26,38
2017-10-27,0
2017-10-28,22
2017-10-29,0
2017-10-30,19
2017-10-31,19
2017-11-01,19
2017-11-02,19
2017-11-03,0
2017-11-04,0
2017-11-05,0
2017-11-06,0
2017-11-07,18
2017-11-08,19
2017-11-09,0
2017-11-10,0
2017-11-11,0
2017-11-12,0
2017-11-13,55
2017-11-14,0
2017-11-15,18
2017-11-16,19
2017-11-17,0
2017-11-18,21
2017-11-19,0
2017-11-20,0
2017-11-21,18
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-25,21
2017-11-26,0
2017-11-27,18
2017-11-28,0
2017-11-29,37
2017-11-30,38
2017-12-01,39
2017-12-02,0
2017-12-03,0
2017-12-04,18
2017-12-05,18
2017-12-06,18
2017-12-07,0
2017-12-08,20
2017-12-09,0
2017-12-10,0
2017-12-11,0
2017-12-12,37
2017-12-13,18
2017-12-14,0
2017-12-15,39
2017-12-16,0
2017-12-17,21
2017-12-18,0
2017-12-19,0
2017-12-20,19
2017-12-21,100
2017-12-22,41
2017-12-23,22
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,20
2017-12-28,20
2017-12-29,41
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,0
2018-01-03,0
2018-01-04,0
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,18
2018-01-09,18
2018-01-10,0
2018-01-11,37
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,36
2018-01-16,18
2018-01-17,18
2018-01-18,18
2018-01-19,19
2018-01-20,21
2018-01-21,0
2018-01-22,18
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,21
2018-01-28,0
2018-01-29,0
2018-01-30,18
2018-01-31,36
2018-02-01,0
2018-02-02,37
2018-02-03,0
2018-02-04,40
2018-02-05,18
2018-02-06,54
2018-02-07,0
2018-02-08,0
2018-02-09,0
2018-02-10,21
2018-02-11,0
2018-02-12,18
2018-02-13,0
2018-02-14,18
2018-02-15,18
2018-02-16,19
2018-02-17,41
2018-02-18,0
2018-02-19,18
2018-02-20,0
2018-02-21,18
2018-02-22,18
2018-02-23,37
2018-02-24,0
2018-02-25,0
2018-02-26,18
2018-02-27,0
2018-02-28,17
2018-03-01,17
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,17
2018-03-06,0
2018-03-07,18
2018-03-08,18
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,0
2018-03-14,17
2018-03-15,18
2018-03-16,0
2018-03-17,0
2018-03-18,0
2018-03-19,0
2018-03-20,0
2018-03-21,0
2018-03-22,18
2018-03-23,0
2018-03-24,0
2018-03-25,0
2018-03-26,71
2018-03-27,36
2018-03-28,55
2018-03-29,38
2018-03-30,20
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,0
2018-04-04,54
2018-04-05,36
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,35
