date,Paychex,isPartial
2014-07-24,56,False
2014-07-25,53,False
2014-07-26,30,False
2014-07-27,12,False
2014-07-28,61,False
2014-07-29,70,False
2014-07-30,47,False
2014-07-31,81,False
2014-08-01,60,False
2014-08-02,25,False
2014-08-03,17,False
2014-08-04,47,False
2014-08-05,69,False
2014-08-06,54,False
2014-08-07,53,False
2014-08-08,66,False
2014-08-09,28,False
2014-08-10,22,False
2014-08-11,49,False
2014-08-12,44,False
2014-08-13,41,False
2014-08-14,50,False
2014-08-15,69,False
2014-08-16,21,False
2014-08-17,9,False
2014-08-18,44,False
2014-08-19,50,False
2014-08-20,78,False
2014-08-21,61,False
2014-08-22,58,False
2014-08-23,20,False
2014-08-24,16,False
2014-08-25,54,False
2014-08-26,59,False
2014-08-27,56,False
2014-08-28,47,False
2014-08-29,68,False
2014-08-30,23,False
2014-08-31,11,False
2014-09-01,23,False
2014-09-02,57,False
2014-09-03,67,False
2014-09-04,59,False
2014-09-05,67,False
2014-09-06,22,False
2014-09-07,21,False
2014-09-08,55,False
2014-09-09,47,False
2014-09-10,49,False
2014-09-11,51,False
2014-09-12,52,False
2014-09-13,28,False
2014-09-14,19,False
2014-09-15,57,False
2014-09-16,49,False
2014-09-17,56,False
2014-09-18,62,False
2014-09-19,57,False
2014-09-20,24,False
2014-09-21,21,False
2014-09-22,60,False
2014-09-23,60,False
2014-09-24,45,False
2014-09-25,58,False
2014-09-26,60,False
2014-09-27,25,False
2014-09-28,18,False
2014-09-29,42,False
2014-09-30,59,False
2014-10-01,63,False
2014-10-02,56,False
2014-10-03,57,False
2014-10-04,24,False
2014-10-05,13,False
2014-10-06,66,False
2014-10-07,65,False
2014-10-08,57,False
2014-10-09,56,False
2014-10-10,70,False
2014-10-11,28,False
2014-10-12,11,False
2014-10-13,48,False
2014-10-14,45,False
2014-10-15,60,False
2014-10-16,44,False
2014-10-17,51,False
2014-10-18,28,False
2014-10-19,16,False
2014-10-20,80,False
2014-10-21,43,False
2014-10-22,49,False
2014-10-23,65,False
2014-10-24,53,False
2014-10-25,23,False
2014-10-26,15,False
2014-10-27,52,False
2014-10-28,57,False
2014-10-29,67,False
2014-10-30,53,False
2014-10-31,82,False
2014-11-01,22,False
2014-11-02,20,False
2014-11-03,57,False
2014-11-04,54,False
2014-11-05,59,False
2014-11-06,44,False
2014-11-07,57,False
2014-11-08,29,False
2014-11-09,19,False
2014-11-10,64,False
2014-11-11,50,False
2014-11-12,50,False
2014-11-13,68,False
2014-11-14,73,False
2014-11-15,30,False
2014-11-16,18,False
2014-11-17,68,False
2014-11-18,57,False
2014-11-19,57,False
2014-11-20,66,False
2014-11-21,70,False
2014-11-22,25,False
2014-11-23,12,False
2014-11-24,50,False
2014-11-25,52,False
2014-11-26,49,False
2014-11-27,13,False
2014-11-28,37,False
2014-11-29,23,False
2014-11-30,15,False
2014-12-01,61,False
2014-12-02,64,False
2014-12-03,66,False
2014-12-04,71,False
2014-12-05,65,False
2014-12-06,29,False
2014-12-07,24,False
2014-12-08,40,False
2014-12-09,61,False
2014-12-10,47,False
2014-12-11,69,False
2014-12-12,63,False
2014-12-13,33,False
2014-12-14,14,False
2014-12-15,66,False
2014-12-16,56,False
2014-12-17,72,False
2014-12-18,66,False
2014-12-19,67,False
2014-12-20,24,False
2014-12-21,19,False
2014-12-22,68,False
2014-12-23,70,False
2014-12-24,59,False
2014-12-25,21,False
2014-12-26,42,False
2014-12-27,22,False
2014-12-28,18,False
2014-12-29,72,False
2014-12-30,73,False
2014-12-31,66,False
2015-01-01,35,False
2015-01-02,83,False
2015-01-03,34,False
2015-01-04,31,False
2015-01-05,84,False
2015-01-06,83,False
2015-01-07,74,False
2015-01-08,81,False
2015-01-09,80,False
2015-01-10,33,False
2015-01-11,26,False
2015-01-12,83,False
2015-01-13,85,False
2015-01-14,82,False
2015-01-15,82,False
2015-01-16,91,False
2015-01-17,36,False
2015-01-18,31,False
2015-01-19,64,False
2015-01-20,76,False
2015-01-21,85,False
2015-01-22,69,False
2015-01-23,77,False
2015-01-24,39,False
2015-01-25,25,False
2015-01-26,60,False
2015-01-27,60,False
2015-01-28,71,False
2015-01-29,76,False
2015-01-30,100,False
2015-01-31,46,False
2015-02-01,34,False
2015-02-02,82,False
2015-02-03,68,False
2015-02-04,68,False
2015-02-05,59,False
2015-02-06,83,False
2015-02-07,23,False
2015-02-08,18,False
2015-02-09,56,False
2015-02-10,61,False
2015-02-11,77,False
2015-02-12,68,False
2015-02-13,69,False
2015-02-14,22,False
2015-02-15,25,False
2015-02-16,50,False
2015-02-17,64,False
2015-02-18,69,False
2015-02-19,64,False
2015-02-20,62,False
2015-02-21,30,False
2015-02-22,18,False
2015-02-23,53,False
2015-02-24,50,False
2015-02-25,54,False
2015-02-26,60,False
2015-02-27,66,False
2015-02-28,30,False
2015-03-01,28,False
2015-03-02,71,False
2015-03-03,56,False
2015-03-04,51,False
2015-03-05,54,False
2015-03-06,73,False
2015-03-07,28,False
2015-03-08,22,False
2015-03-09,67,False
2015-03-10,68,False
2015-03-11,67,False
2015-03-12,45,False
2015-03-13,61,False
2015-03-14,24,False
2015-03-15,24,False
2015-03-16,68,False
2015-03-17,64,False
2015-03-18,70,False
2015-03-19,54,False
2015-03-20,67,False
2015-03-21,39,False
2015-03-22,29,False
2015-03-23,68,False
2015-03-24,66,False
2015-03-25,53,False
2015-03-26,54,False
2015-03-27,61,False
2015-03-28,26,False
2015-03-29,18,False
2015-03-30,61,False
2015-03-31,71,False
2015-04-01,62,False
2015-04-02,74,False
2015-04-03,63,False
2015-04-04,27,False
2015-04-05,19,False
2015-04-06,54,False
2015-04-07,64,False
2015-04-08,59,False
2015-04-09,48,False
2015-04-10,84,False
