date,QUALCOMM,isPartial
2014-07-24,94,False
2014-07-25,80,False
2014-07-26,70,False
2014-07-27,55,False
2014-07-28,56,False
2014-07-29,66,False
2014-07-30,77,False
2014-07-31,70,False
2014-08-01,64,False
2014-08-02,61,False
2014-08-03,53,False
2014-08-04,66,False
2014-08-05,69,False
2014-08-06,76,False
2014-08-07,65,False
2014-08-08,78,False
2014-08-09,60,False
2014-08-10,51,False
2014-08-11,63,False
2014-08-12,65,False
2014-08-13,67,False
2014-08-14,67,False
2014-08-15,54,False
2014-08-16,63,False
2014-08-17,59,False
2014-08-18,51,False
2014-08-19,73,False
2014-08-20,70,False
2014-08-21,74,False
2014-08-22,60,False
2014-08-23,61,False
2014-08-24,51,False
2014-08-25,63,False
2014-08-26,64,False
2014-08-27,71,False
2014-08-28,76,False
2014-08-29,57,False
2014-08-30,59,False
2014-08-31,53,False
2014-09-01,55,False
2014-09-02,63,False
2014-09-03,67,False
2014-09-04,67,False
2014-09-05,67,False
2014-09-06,64,False
2014-09-07,60,False
2014-09-08,65,False
2014-09-09,57,False
2014-09-10,88,False
2014-09-11,63,False
2014-09-12,70,False
2014-09-13,75,False
2014-09-14,92,False
2014-09-15,74,False
2014-09-16,74,False
2014-09-17,79,False
2014-09-18,56,False
2014-09-19,70,False
2014-09-20,56,False
2014-09-21,66,False
2014-09-22,55,False
2014-09-23,71,False
2014-09-24,67,False
2014-09-25,70,False
2014-09-26,72,False
2014-09-27,53,False
2014-09-28,66,False
2014-09-29,74,False
2014-09-30,63,False
2014-10-01,63,False
2014-10-02,63,False
2014-10-03,58,False
2014-10-04,54,False
2014-10-05,76,False
2014-10-06,64,False
2014-10-07,72,False
2014-10-08,65,False
2014-10-09,58,False
2014-10-10,58,False
2014-10-11,55,False
2014-10-12,50,False
2014-10-13,58,False
2014-10-14,60,False
2014-10-15,83,False
2014-10-16,87,False
2014-10-17,80,False
2014-10-18,64,False
2014-10-19,77,False
2014-10-20,70,False
2014-10-21,68,False
2014-10-22,76,False
2014-10-23,58,False
2014-10-24,65,False
2014-10-25,61,False
2014-10-26,62,False
2014-10-27,60,False
2014-10-28,67,False
2014-10-29,72,False
2014-10-30,77,False
2014-10-31,71,False
2014-11-01,48,False
2014-11-02,54,False
2014-11-03,63,False
2014-11-04,71,False
2014-11-05,69,False
2014-11-06,86,False
2014-11-07,75,False
2014-11-08,74,False
2014-11-09,68,False
2014-11-10,67,False
2014-11-11,69,False
2014-11-12,69,False
2014-11-13,68,False
2014-11-14,58,False
2014-11-15,62,False
2014-11-16,75,False
2014-11-17,53,False
2014-11-18,75,False
2014-11-19,73,False
2014-11-20,63,False
2014-11-21,68,False
2014-11-22,60,False
2014-11-23,70,False
2014-11-24,82,False
2014-11-25,71,False
2014-11-26,71,False
2014-11-27,64,False
2014-11-28,62,False
2014-11-29,47,False
2014-11-30,55,False
2014-12-01,67,False
2014-12-02,65,False
2014-12-03,69,False
2014-12-04,67,False
2014-12-05,76,False
2014-12-06,62,False
2014-12-07,79,False
2014-12-08,92,False
