date,REGN stock
2017-05-29,0
2017-05-30,25
2017-05-31,16
2017-06-01,30
2017-06-02,22
2017-06-03,29
2017-06-04,10
2017-06-05,46
2017-06-06,20
2017-06-07,33
2017-06-08,25
2017-06-09,26
2017-06-10,20
2017-06-11,10
2017-06-12,33
2017-06-13,36
2017-06-14,33
2017-06-15,8
2017-06-16,26
2017-06-17,0
2017-06-18,20
2017-06-19,17
2017-06-20,100
2017-06-21,52
2017-06-22,64
2017-06-23,71
2017-06-24,10
2017-06-25,0
2017-06-26,38
2017-06-27,26
2017-06-28,56
2017-06-29,39
2017-06-30,40
2017-07-01,20
2017-07-02,10
2017-07-03,30
2017-07-04,0
2017-07-05,22
2017-07-06,43
2017-07-07,31
2017-07-08,20
2017-07-09,0
2017-07-10,21
2017-07-11,21
2017-07-12,29
2017-07-13,43
2017-07-14,13
2017-07-15,0
2017-07-16,0
2017-07-17,17
2017-07-18,21
2017-07-19,42
2017-07-20,17
2017-07-21,48
2017-07-22,25
2017-07-23,10
2017-07-24,37
2017-07-25,25
2017-07-26,25
2017-07-27,38
2017-07-28,35
2017-07-29,20
2017-07-30,10
2017-07-31,33
2017-08-01,36
2017-08-02,27
2017-08-03,62
2017-08-04,69
2017-08-05,14
2017-08-06,19
2017-08-07,24
2017-08-08,20
2017-08-09,16
2017-08-10,25
2017-08-11,35
2017-08-12,9
2017-08-13,0
2017-08-14,17
2017-08-15,17
2017-08-16,29
2017-08-17,8
2017-08-18,34
2017-08-19,9
2017-08-20,0
2017-08-21,8
2017-08-22,12
2017-08-23,8
2017-08-24,21
2017-08-25,9
2017-08-26,0
2017-08-27,0
2017-08-28,8
2017-08-29,12
2017-08-30,24
2017-08-31,25
2017-09-01,22
2017-09-02,10
2017-09-03,0
2017-09-04,8
2017-09-05,16
2017-09-06,36
2017-09-07,49
2017-09-08,67
2017-09-09,0
2017-09-10,9
2017-09-11,79
2017-09-12,28
2017-09-13,43
2017-09-14,40
2017-09-15,33
2017-09-16,9
2017-09-17,0
2017-09-18,16
2017-09-19,24
2017-09-20,24
2017-09-21,16
2017-09-22,17
2017-09-23,14
2017-09-24,0
2017-09-25,16
2017-09-26,32
2017-09-27,28
2017-09-28,24
2017-09-29,34
2017-09-30,14
2017-10-01,9
2017-10-02,24
2017-10-03,20
2017-10-04,20
2017-10-05,44
2017-10-06,21
2017-10-07,9
2017-10-08,14
2017-10-09,20
2017-10-10,8
2017-10-11,24
2017-10-12,8
2017-10-13,12
2017-10-14,18
2017-10-15,9
2017-10-16,24
2017-10-17,16
2017-10-18,20
2017-10-19,12
2017-10-20,8
2017-10-21,18
2017-10-22,9
2017-10-23,16
2017-10-24,43
2017-10-25,24
2017-10-26,24
2017-10-27,24
2017-10-28,9
2017-10-29,0
2017-10-30,23
2017-10-31,48
2017-11-01,40
2017-11-02,32
2017-11-03,24
2017-11-04,9
2017-11-05,9
2017-11-06,19
2017-11-07,23
2017-11-08,66
2017-11-09,31
2017-11-10,56
2017-11-11,9
2017-11-12,9
2017-11-13,19
2017-11-14,42
2017-11-15,23
2017-11-16,19
2017-11-17,12
2017-11-18,0
2017-11-19,0
2017-11-20,19
2017-11-21,27
2017-11-22,27
2017-11-23,8
2017-11-24,8
2017-11-25,9
2017-11-26,0
2017-11-27,30
2017-11-28,26
2017-11-29,31
2017-11-30,51
2017-12-01,32
2017-12-02,18
2017-12-03,9
2017-12-04,30
2017-12-05,23
2017-12-06,27
2017-12-07,27
2017-12-08,20
2017-12-09,0
2017-12-10,9
2017-12-11,7
2017-12-12,15
2017-12-13,15
2017-12-14,20
2017-12-15,20
2017-12-16,9
2017-12-17,18
2017-12-18,35
2017-12-19,48
2017-12-20,20
2017-12-21,21
2017-12-22,17
2017-12-23,0
2017-12-24,0
2017-12-25,10
2017-12-26,13
2017-12-27,21
2017-12-28,13
2017-12-29,17
2017-12-30,9
2017-12-31,0
2018-01-01,10
2018-01-02,24
2018-01-03,31
2018-01-04,31
2018-01-05,32
2018-01-06,9
2018-01-07,9
2018-01-08,34
2018-01-09,19
2018-01-10,38
2018-01-11,31
2018-01-12,20
2018-01-13,17
2018-01-14,0
2018-01-15,7
2018-01-16,22
2018-01-17,37
2018-01-18,7
2018-01-19,16
2018-01-20,9
2018-01-21,8
2018-01-22,15
2018-01-23,15
2018-01-24,30
2018-01-25,22
2018-01-26,39
2018-01-27,17
2018-01-28,0
2018-01-29,33
2018-01-30,18
2018-01-31,26
2018-02-01,52
2018-02-02,39
2018-02-03,13
2018-02-04,0
2018-02-05,44
2018-02-06,26
2018-02-07,37
2018-02-08,34
2018-02-09,62
2018-02-10,17
2018-02-11,0
2018-02-12,8
2018-02-13,15
