date,ROST stock
2016-09-11,0
2016-09-12,0
2016-09-13,35
2016-09-14,35
2016-09-15,0
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,34
2016-09-20,0
2016-09-21,0
2016-09-22,0
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,0
2016-09-28,0
2016-09-29,0
2016-09-30,36
2016-10-01,0
2016-10-02,0
2016-10-03,34
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,34
2016-10-11,0
2016-10-12,35
2016-10-13,0
2016-10-14,36
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,34
2016-10-21,0
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,67
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,35
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-05,39
2016-11-06,0
2016-11-07,0
2016-11-08,0
2016-11-09,61
2016-11-10,0
2016-11-11,0
2016-11-12,0
2016-11-13,0
2016-11-14,33
2016-11-15,0
2016-11-16,34
2016-11-17,0
2016-11-18,70
2016-11-19,0
2016-11-20,0
2016-11-21,33
2016-11-22,33
2016-11-23,33
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-29,31
2016-11-30,0
2016-12-01,33
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,0
2016-12-07,63
2016-12-08,0
2016-12-09,34
2016-12-10,38
2016-12-11,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,35
2016-12-17,0
2016-12-18,0
2016-12-19,0
2016-12-20,0
2016-12-21,35
2016-12-22,35
2016-12-23,0
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,37
2016-12-31,0
2017-01-01,0
2017-01-02,34
2017-01-03,33
2017-01-04,0
2017-01-05,33
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,0
2017-01-10,32
2017-01-11,31
2017-01-12,0
2017-01-13,0
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,32
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,31
2017-01-26,0
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,31
2017-01-31,0
2017-02-01,30
2017-02-02,0
2017-02-03,0
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,31
2017-02-08,0
2017-02-09,31
2017-02-10,65
2017-02-11,0
2017-02-12,35
2017-02-13,61
2017-02-14,0
2017-02-15,0
2017-02-16,31
2017-02-17,31
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,31
2017-02-22,0
2017-02-23,63
2017-02-24,32
2017-02-25,36
2017-02-26,0
2017-02-27,30
2017-02-28,31
2017-03-01,89
2017-03-02,30
2017-03-03,31
2017-03-04,0
2017-03-05,0
2017-03-06,0
2017-03-07,0
2017-03-08,30
2017-03-09,0
2017-03-10,0
2017-03-11,0
2017-03-12,0
2017-03-13,0
2017-03-14,0
2017-03-15,0
2017-03-16,31
2017-03-17,33
2017-03-18,0
2017-03-19,35
2017-03-20,31
2017-03-21,0
2017-03-22,0
2017-03-23,31
2017-03-24,0
2017-03-25,0
2017-03-26,0
2017-03-27,31
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,0
2017-04-05,0
2017-04-06,31
2017-04-07,0
2017-04-08,0
2017-04-09,0
2017-04-10,31
2017-04-11,0
2017-04-12,32
2017-04-13,33
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,31
2017-04-21,32
2017-04-22,0
2017-04-23,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,31
2017-04-28,64
2017-04-29,0
2017-04-30,0
2017-05-01,100
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-06,36
2017-05-07,0
2017-05-08,31
2017-05-09,31
2017-05-10,0
2017-05-11,63
2017-05-12,65
2017-05-13,0
2017-05-14,36
2017-05-15,0
2017-05-16,66
2017-05-17,33
2017-05-18,66
2017-05-19,0
2017-05-20,39
2017-05-21,0
2017-05-22,0
2017-05-23,0
2017-05-24,67
2017-05-25,34
2017-05-26,0
2017-05-27,0
2017-05-28,0
2017-05-29,0
