date,value
2017-10-31,29.0
2017-11-01,9.0
2017-11-02,26.0
2017-11-03,27.0
2017-11-04,29.0
2017-11-05,34.0
2017-11-06,29.0
2017-11-07,31.0
2017-11-08,34.0
2017-11-09,30.0
2017-11-10,31.0
2017-11-11,50.0
2017-11-12,40.0
2017-11-13,20.0
2017-11-14,26.0
2017-11-15,31.0
2017-11-16,32.0
2017-11-17,24.0
2017-11-18,40.0
2017-11-19,36.0
2017-11-20,28.0
2017-11-21,28.0
2017-11-22,29.0
2017-11-23,77.0
2017-11-24,44.0
2017-11-25,41.0
2017-11-26,25.0
2017-11-27,31.0
2017-11-28,29.0
2017-11-29,21.0
2017-11-30,21.0
2017-12-01,32.0
2017-12-02,42.0
2017-12-03,37.0
2017-12-04,25.0
2017-12-05,26.0
2017-12-06,20.0
2017-12-07,34.0
2017-12-08,28.0
2017-12-09,36.0
2017-12-10,32.0
2017-12-11,27.0
2017-12-12,31.0
2017-12-13,31.0
2017-12-14,31.0
2017-12-15,42.0
2017-12-16,45.0
2017-12-17,39.0
2017-12-18,33.0
2017-12-19,31.0
2017-12-20,25.0
2017-12-21,39.0
2017-12-22,37.0
2017-12-23,42.0
2017-12-24,72.0
2017-12-25,100.0
2017-12-26,40.0
2017-12-27,27.0
2017-12-28,22.0
2017-12-29,30.0
2017-12-30,30.0
2017-12-31,36.0
2018-01-01,47.0
2018-01-02,26.0
2018-01-03,26.0
2018-01-04,25.0
2018-01-05,27.0
2018-01-06,25.0
2018-01-07,35.0
2018-01-08,35.0
2018-01-09,18.0
2018-01-10,22.0
2018-01-11,21.0
2018-01-12,22.0
2018-01-13,21.0
2018-01-14,30.0
2018-01-15,26.0
2018-01-16,26.0
2018-01-17,23.0
2018-01-18,14.0
2018-01-19,23.0
2018-01-20,28.0
2018-01-21,20.0
2018-01-22,17.0
2018-01-23,23.0
2018-01-24,23.0
2018-01-25,27.0
2018-01-26,20.0
2018-01-27,25.0
2018-01-28,40.0
2018-01-29,30.0
2018-01-30,25.0
2018-01-31,21.0
2018-02-01,23.0
2018-02-02,22.0
2018-02-03,23.0
2018-02-04,25.0
2018-02-05,23.0
2018-02-06,23.0
2018-02-07,19.0
2018-02-08,24.0
2018-02-09,22.0
2018-02-10,29.0
2018-02-11,23.0
2018-02-12,20.0
2018-02-13,26.0
2018-02-14,15.0
2018-02-15,26.0
2018-02-16,22.0
2018-02-17,23.0
2018-02-18,33.0
2018-02-19,24.0
2018-02-20,17.0
2018-02-21,17.0
2018-02-22,24.0
2018-02-23,28.0
2018-02-24,29.0
2018-02-25,41.0
2018-02-26,22.0
2018-02-27,23.0
2018-02-28,30.0
2018-03-01,29.0
2018-03-02,18.0
2018-03-03,41.0
2018-03-04,49.0
2018-03-05,26.0
2018-03-06,26.0
2018-03-07,25.0
2018-03-08,23.0
2018-03-09,23.0
2018-03-10,31.0
2018-03-11,44.0
2018-03-12,31.0
2018-03-13,26.0
2018-03-14,25.0
2018-03-15,27.0
2018-03-16,23.0
2018-03-17,31.0
2018-03-18,25.0
2018-03-19,23.0
2018-03-20,23.0
2018-03-21,26.0
2018-03-22,25.0
2018-03-23,32.0
2018-03-24,33.0
2018-03-25,31.0
2018-03-26,25.0
2018-03-27,16.0
2018-03-28,22.0
2018-03-29,30.0
2018-03-30,34.0
2018-03-31,37.0
2018-04-01,79.0
2018-04-02,28.0
2018-04-03,26.0
2018-04-04,24.0
2018-04-05,29.0
2018-04-06,21.0
2018-04-07,33.0
2018-04-08,35.0
2018-04-09,20.0
2018-04-10,23.0
2018-04-11,33.0
2018-04-12,25.0
2018-04-13,31.0
2018-04-14,35.0
2018-04-15,35.0
2018-04-16,22.0
2018-04-17,13.0
2018-04-18,19.0
2018-04-19,19.0
2018-04-20,45.0
2018-04-21,35.0
2018-04-22,46.0
2018-04-23,16.0
2018-04-24,23.0
2018-04-25,25.0
2018-04-26,23.0
2018-04-27,26.0
2018-04-28,24.0
2018-04-29,47.0
2018-04-30,18.0
2018-05-01,30.0
2018-05-02,28.0
2018-05-03,31.0
2018-05-04,36.0
2018-05-05,38.0
2018-05-06,36.0
2018-05-07,30.0
2018-05-08,37.0
2018-05-09,20.0
2018-05-10,28.0
2018-05-11,27.0
2018-05-12,33.0
2018-05-13,35.0
2018-05-14,27.0
2018-05-15,22.0
2018-05-16,25.0
2018-05-17,33.0
2018-05-18,30.0
2018-05-19,30.0
2018-05-20,34.0
2018-05-21,15.0
