date,Ross Stores,isPartial
2013-02-19,45,False
2013-02-20,28,False
2013-02-21,28,False
2013-02-22,36,False
2013-02-23,54,False
2013-02-24,50,False
2013-02-25,27,False
2013-02-26,41,False
2013-02-27,53,False
2013-02-28,42,False
2013-03-01,46,False
2013-03-02,56,False
2013-03-03,56,False
2013-03-04,61,False
2013-03-05,38,False
2013-03-06,37,False
2013-03-07,61,False
2013-03-08,58,False
2013-03-09,50,False
2013-03-10,51,False
2013-03-11,42,False
2013-03-12,59,False
2013-03-13,40,False
2013-03-14,51,False
2013-03-15,61,False
2013-03-16,45,False
2013-03-17,47,False
2013-03-18,34,False
2013-03-19,50,False
2013-03-20,50,False
2013-03-21,35,False
2013-03-22,72,False
2013-03-23,54,False
2013-03-24,65,False
2013-03-25,51,False
2013-03-26,51,False
2013-03-27,49,False
2013-03-28,73,False
2013-03-29,52,False
2013-03-30,70,False
2013-03-31,92,False
2013-04-01,46,False
2013-04-02,48,False
2013-04-03,48,False
2013-04-04,52,False
2013-04-05,45,False
2013-04-06,61,False
2013-04-07,57,False
2013-04-08,48,False
2013-04-09,43,False
2013-04-10,30,False
2013-04-11,55,False
2013-04-12,42,False
2013-04-13,62,False
2013-04-14,49,False
2013-04-15,61,False
2013-04-16,29,False
2013-04-17,54,False
2013-04-18,49,False
2013-04-19,63,False
2013-04-20,79,False
2013-04-21,58,False
2013-04-22,45,False
2013-04-23,43,False
2013-04-24,39,False
2013-04-25,41,False
2013-04-26,46,False
2013-04-27,42,False
2013-04-28,71,False
2013-04-29,38,False
2013-04-30,47,False
2013-05-01,51,False
2013-05-02,33,False
2013-05-03,55,False
2013-05-04,68,False
2013-05-05,65,False
2013-05-06,57,False
2013-05-07,51,False
2013-05-08,40,False
2013-05-09,63,False
2013-05-10,55,False
2013-05-11,62,False
2013-05-12,92,False
2013-05-13,56,False
2013-05-14,59,False
2013-05-15,78,False
2013-05-16,29,False
2013-05-17,56,False
2013-05-18,82,False
2013-05-19,78,False
2013-05-20,45,False
2013-05-21,39,False
2013-05-22,57,False
2013-05-23,43,False
2013-05-24,51,False
2013-05-25,66,False
2013-05-26,60,False
2013-05-27,73,False
2013-05-28,40,False
2013-05-29,47,False
2013-05-30,67,False
2013-05-31,62,False
2013-06-01,62,False
2013-06-02,73,False
2013-06-03,49,False
2013-06-04,72,False
2013-06-05,54,False
2013-06-06,48,False
2013-06-07,74,False
2013-06-08,59,False
2013-06-09,73,False
2013-06-10,55,False
2013-06-11,59,False
2013-06-12,55,False
