date,SBUX stock
2014-03-16,10
2014-03-17,21
2014-03-18,33
2014-03-19,17
2014-03-20,55
2014-03-21,53
2014-03-22,20
2014-03-23,19
2014-03-24,37
2014-03-25,16
2014-03-26,21
2014-03-27,42
2014-03-28,22
2014-03-29,10
2014-03-30,20
2014-03-31,25
2014-04-01,67
2014-04-02,29
2014-04-03,30
2014-04-04,39
2014-04-05,10
2014-04-06,10
2014-04-07,25
2014-04-08,38
2014-04-09,42
2014-04-10,43
2014-04-11,22
2014-04-12,20
2014-04-13,0
2014-04-14,25
2014-04-15,17
2014-04-16,48
2014-04-17,40
2014-04-18,39
2014-04-19,11
2014-04-20,11
2014-04-21,28
2014-04-22,29
2014-04-23,42
2014-04-24,55
2014-04-25,89
2014-04-26,20
2014-04-27,19
2014-04-28,29
2014-04-29,12
2014-04-30,26
2014-05-01,32
2014-05-02,45
2014-05-03,30
2014-05-04,0
2014-05-05,21
2014-05-06,38
2014-05-07,17
2014-05-08,30
2014-05-09,48
2014-05-10,10
2014-05-11,10
2014-05-12,37
2014-05-13,33
2014-05-14,46
2014-05-15,55
2014-05-16,26
2014-05-17,10
2014-05-18,0
2014-05-19,25
2014-05-20,34
2014-05-21,23
2014-05-22,19
2014-05-23,48
2014-05-24,11
2014-05-25,11
2014-05-26,19
2014-05-27,36
2014-05-28,32
2014-05-29,14
2014-05-30,29
2014-05-31,11
2014-06-01,11
2014-06-02,37
2014-06-03,23
2014-06-04,9
2014-06-05,19
2014-06-06,40
2014-06-07,12
2014-06-08,23
2014-06-09,19
2014-06-10,33
2014-06-11,46
2014-06-12,47
2014-06-13,29
2014-06-14,11
2014-06-15,11
2014-06-16,32
2014-06-17,23
2014-06-18,24
2014-06-19,38
2014-06-20,45
2014-06-21,47
2014-06-22,11
2014-06-23,24
2014-06-24,14
2014-06-25,56
2014-06-26,19
2014-06-27,20
2014-06-28,17
2014-06-29,0
2014-06-30,19
2014-07-01,28
2014-07-02,33
2014-07-03,34
2014-07-04,0
2014-07-05,17
2014-07-06,12
2014-07-07,14
2014-07-08,51
2014-07-09,19
2014-07-10,33
2014-07-11,35
2014-07-12,34
2014-07-13,11
2014-07-14,19
2014-07-15,23
2014-07-16,29
2014-07-17,29
2014-07-18,30
2014-07-19,0
2014-07-20,34
2014-07-21,37
2014-07-22,33
2014-07-23,34
2014-07-24,67
2014-07-25,100
2014-07-26,18
2014-07-27,0
2014-07-28,43
2014-07-29,33
2014-07-30,43
2014-07-31,29
2014-08-01,35
2014-08-02,11
2014-08-03,17
2014-08-04,28
2014-08-05,19
2014-08-06,24
2014-08-07,20
2014-08-08,15
2014-08-09,11
2014-08-10,11
2014-08-11,33
2014-08-12,18
2014-08-13,19
2014-08-14,62
2014-08-15,41
2014-08-16,11
2014-08-17,11
2014-08-18,14
2014-08-19,19
2014-08-20,19
2014-08-21,28
2014-08-22,19
2014-08-23,0
2014-08-24,22
2014-08-25,27
2014-08-26,23
2014-08-27,36
2014-08-28,32
2014-08-29,29
2014-08-30,28
2014-08-31,0
2014-09-01,14
2014-09-02,9
2014-09-03,13
2014-09-04,23
2014-09-05,33
2014-09-06,16
2014-09-07,11
2014-09-08,36
2014-09-09,13
2014-09-10,13
2014-09-11,31
2014-09-12,37
2014-09-13,43
2014-09-14,11
2014-09-15,13
2014-09-16,18
2014-09-17,18
2014-09-18,22
2014-09-19,23
2014-09-20,0
2014-09-21,10
2014-09-22,31
2014-09-23,40
2014-09-24,44
2014-09-25,9
2014-09-26,18
2014-09-27,11
2014-09-28,10
2014-09-29,9
2014-09-30,17
2014-10-01,31
2014-10-02,45
2014-10-03,19
2014-10-04,22
2014-10-05,10
2014-10-06,17
2014-10-07,13
2014-10-08,22
2014-10-09,22
2014-10-10,55
2014-10-11,11
2014-10-12,10
2014-10-13,30
2014-10-14,43
2014-10-15,35
2014-10-16,31
2014-10-17,36
2014-10-18,10
2014-10-19,21
2014-10-20,22
2014-10-21,21
2014-10-22,39
2014-10-23,31
2014-10-24,27
2014-10-25,10
2014-10-26,10
2014-10-27,30
2014-10-28,55
2014-10-29,43
2014-10-30,44
2014-10-31,69
2014-11-01,21
2014-11-02,10
2014-11-03,26
2014-11-04,25
2014-11-05,25
2014-11-06,47
2014-11-07,36
2014-11-08,0
2014-11-09,0
2014-11-10,21
2014-11-11,38
2014-11-12,42
2014-11-13,38
2014-11-14,58
2014-11-15,20
2014-11-16,10
2014-11-17,21
2014-11-18,27
2014-11-19,26
2014-11-20,43
2014-11-21,45
2014-11-22,20
2014-11-23,10
2014-11-24,42
2014-11-25,29
2014-11-26,34
2014-11-27,9
2014-11-28,22
2014-11-29,20
2014-11-30,10
2014-12-01,37
