date,SIRI stock
2016-09-11,8
2016-09-12,7
2016-09-13,27
2016-09-14,14
2016-09-15,14
2016-09-16,18
2016-09-17,8
2016-09-18,0
2016-09-19,47
2016-09-20,17
2016-09-21,34
2016-09-22,28
2016-09-23,39
2016-09-24,4
2016-09-25,0
2016-09-26,24
2016-09-27,17
2016-09-28,27
2016-09-29,20
2016-09-30,32
2016-10-01,12
2016-10-02,7
2016-10-03,17
2016-10-04,37
2016-10-05,20
2016-10-06,10
2016-10-07,28
2016-10-08,4
2016-10-09,4
2016-10-10,34
2016-10-11,30
2016-10-12,24
2016-10-13,24
2016-10-14,25
2016-10-15,8
2016-10-16,4
2016-10-17,20
2016-10-18,26
2016-10-19,20
2016-10-20,17
2016-10-21,14
2016-10-22,8
2016-10-23,0
2016-10-24,16
2016-10-25,7
2016-10-26,13
2016-10-27,37
2016-10-28,17
2016-10-29,0
2016-10-30,8
2016-10-31,17
2016-11-01,7
2016-11-02,10
2016-11-03,23
2016-11-04,24
2016-11-05,4
2016-11-06,0
2016-11-07,23
2016-11-08,29
2016-11-09,27
2016-11-10,64
2016-11-11,28
2016-11-12,27
2016-11-13,11
2016-11-14,29
2016-11-15,50
2016-11-16,36
2016-11-17,40
2016-11-18,37
2016-11-19,7
2016-11-20,0
2016-11-21,19
2016-11-22,39
2016-11-23,46
2016-11-24,7
2016-11-25,24
2016-11-26,7
2016-11-27,11
2016-11-28,28
2016-11-29,28
2016-11-30,45
2016-12-01,29
2016-12-02,50
2016-12-03,18
2016-12-04,3
2016-12-05,29
2016-12-06,37
2016-12-07,48
2016-12-08,39
2016-12-09,46
2016-12-10,7
2016-12-11,7
2016-12-12,28
2016-12-13,16
2016-12-14,22
2016-12-15,33
2016-12-16,34
2016-12-17,4
2016-12-18,11
2016-12-19,26
2016-12-20,44
2016-12-21,27
2016-12-22,28
2016-12-23,18
2016-12-24,4
2016-12-25,4
2016-12-26,29
2016-12-27,37
2016-12-28,14
2016-12-29,14
2016-12-30,22
2016-12-31,8
2017-01-01,4
2017-01-02,7
2017-01-03,36
2017-01-04,39
2017-01-05,43
2017-01-06,27
2017-01-07,21
2017-01-08,0
2017-01-09,28
2017-01-10,40
2017-01-11,19
2017-01-12,22
2017-01-13,55
2017-01-14,7
2017-01-15,11
2017-01-16,12
2017-01-17,25
2017-01-18,28
2017-01-19,19
2017-01-20,26
2017-01-21,18
2017-01-22,0
2017-01-23,24
2017-01-24,43
2017-01-25,40
2017-01-26,40
2017-01-27,29
2017-01-28,4
2017-01-29,7
2017-01-30,15
2017-01-31,12
2017-02-01,24
2017-02-02,44
2017-02-03,54
2017-02-04,11
2017-02-05,7
2017-02-06,18
2017-02-07,27
2017-02-08,30
2017-02-09,37
2017-02-10,35
2017-02-11,7
2017-02-12,3
2017-02-13,39
2017-02-14,39
2017-02-15,90
2017-02-16,74
2017-02-17,74
2017-02-18,21
2017-02-19,17
2017-02-20,28
2017-02-21,58
2017-02-22,97
2017-02-23,100
2017-02-24,64
2017-02-25,21
2017-02-26,14
2017-02-27,78
2017-02-28,87
2017-03-01,88
2017-03-02,62
2017-03-03,50
2017-03-04,14
2017-03-05,7
2017-03-06,49
2017-03-07,52
2017-03-08,42
2017-03-09,66
2017-03-10,53
2017-03-11,18
2017-03-12,10
2017-03-13,99
2017-03-14,63
2017-03-15,45
2017-03-16,59
2017-03-17,61
2017-03-18,21
2017-03-19,10
2017-03-20,61
2017-03-21,45
2017-03-22,49
2017-03-23,49
2017-03-24,54
2017-03-25,14
2017-03-26,28
2017-03-27,64
2017-03-28,33
2017-03-29,40
2017-03-30,37
2017-03-31,42
2017-04-01,21
2017-04-02,18
2017-04-03,36
2017-04-04,33
2017-04-05,30
2017-04-06,28
2017-04-07,66
2017-04-08,18
2017-04-09,7
2017-04-10,25
2017-04-11,47
2017-04-12,31
2017-04-13,55
2017-04-14,24
2017-04-15,18
2017-04-16,7
2017-04-17,35
2017-04-18,30
2017-04-19,39
2017-04-20,31
2017-04-21,80
2017-04-22,4
2017-04-23,10
2017-04-24,15
2017-04-25,58
2017-04-26,42
2017-04-27,61
2017-04-28,45
2017-04-29,21
2017-04-30,7
2017-05-01,33
2017-05-02,51
2017-05-03,45
2017-05-04,22
2017-05-05,19
2017-05-06,25
2017-05-07,10
2017-05-08,55
2017-05-09,45
2017-05-10,43
2017-05-11,34
2017-05-12,35
2017-05-13,7
2017-05-14,14
2017-05-15,48
2017-05-16,39
2017-05-17,39
2017-05-18,55
2017-05-19,10
2017-05-20,19
2017-05-21,4
2017-05-22,39
2017-05-23,35
2017-05-24,56
2017-05-25,44
2017-05-26,77
2017-05-27,39
2017-05-28,8
2017-05-29,3
