date,value
2017-09-30,13.0
2017-10-01,4.0
2017-10-02,18.0
2017-10-03,14.0
2017-10-04,39.0
2017-10-05,36.0
2017-10-06,22.0
2017-10-07,25.0
2017-10-08,8.0
2017-10-09,18.0
2017-10-10,49.0
2017-10-11,43.0
2017-10-12,51.0
2017-10-13,26.0
2017-10-14,8.0
2017-10-15,0.0
2017-10-16,39.0
2017-10-17,18.0
2017-10-18,53.0
2017-10-19,32.0
2017-10-20,33.0
2017-10-21,21.0
2017-10-22,0.0
2017-10-23,39.0
2017-10-24,28.0
2017-10-25,56.0
2017-10-26,43.0
2017-10-27,44.0
2017-10-28,24.0
2017-10-29,12.0
2017-10-30,35.0
2017-10-31,25.0
2017-11-01,18.0
2017-11-02,25.0
2017-11-03,40.0
2017-11-04,8.0
2017-11-05,8.0
2017-11-06,17.0
2017-11-07,27.0
2017-11-08,35.0
2017-11-09,21.0
2017-11-10,18.0
2017-11-11,12.0
2017-11-12,16.0
2017-11-13,14.0
2017-11-14,17.0
2017-11-15,27.0
2017-11-16,27.0
2017-11-17,32.0
2017-11-18,16.0
2017-11-19,12.0
2017-11-20,14.0
2017-11-21,20.0
2017-11-22,21.0
2017-11-23,14.0
2017-11-24,7.0
2017-11-25,8.0
2017-11-26,12.0
2017-11-27,34.0
2017-11-28,31.0
2017-11-29,3.0
2017-11-30,38.0
2017-12-01,22.0
2017-12-02,16.0
2017-12-03,16.0
2017-12-04,45.0
2017-12-05,44.0
2017-12-06,28.0
2017-12-07,42.0
2017-12-08,25.0
2017-12-09,32.0
2017-12-10,20.0
2017-12-11,17.0
2017-12-12,21.0
2017-12-13,31.0
2017-12-14,18.0
2017-12-15,69.0
2017-12-16,8.0
2017-12-17,8.0
2017-12-18,32.0
2017-12-19,65.0
2017-12-20,36.0
2017-12-21,30.0
2017-12-22,43.0
2017-12-23,17.0
2017-12-24,9.0
2017-12-25,9.0
2017-12-26,20.0
2017-12-27,37.0
2017-12-28,34.0
2017-12-29,31.0
2017-12-30,12.0
2017-12-31,9.0
2018-01-01,13.0
2018-01-02,36.0
2018-01-03,49.0
2018-01-04,41.0
2018-01-05,35.0
2018-01-06,12.0
2018-01-07,4.0
2018-01-08,17.0
2018-01-09,30.0
2018-01-10,34.0
2018-01-11,48.0
2018-01-12,25.0
2018-01-13,12.0
2018-01-14,23.0
2018-01-15,17.0
2018-01-16,30.0
2018-01-17,43.0
2018-01-18,33.0
2018-01-19,53.0
2018-01-20,12.0
2018-01-21,19.0
2018-01-22,40.0
2018-01-23,20.0
2018-01-24,40.0
2018-01-25,51.0
2018-01-26,56.0
2018-01-27,23.0
2018-01-28,8.0
2018-01-29,37.0
2018-01-30,43.0
2018-01-31,50.0
2018-02-01,47.0
2018-02-02,45.0
2018-02-03,8.0
2018-02-04,15.0
2018-02-05,91.0
2018-02-06,59.0
2018-02-07,46.0
2018-02-08,37.0
2018-02-09,39.0
2018-02-10,15.0
2018-02-11,15.0
2018-02-12,72.0
2018-02-13,48.0
2018-02-14,31.0
2018-02-15,34.0
2018-02-16,39.0
2018-02-17,8.0
2018-02-18,8.0
2018-02-19,20.0
2018-02-20,30.0
2018-02-21,49.0
2018-02-22,44.0
2018-02-23,49.0
2018-02-24,23.0
2018-02-25,15.0
2018-02-26,53.0
2018-02-27,43.0
2018-02-28,46.0
2018-03-01,26.0
2018-03-02,21.0
2018-03-03,8.0
2018-03-04,7.0
2018-03-05,20.0
2018-03-06,53.0
2018-03-07,46.0
2018-03-08,64.0
2018-03-09,41.0
2018-03-10,8.0
2018-03-11,11.0
2018-03-12,29.0
2018-03-13,36.0
2018-03-14,33.0
2018-03-15,16.0
2018-03-16,10.0
2018-03-17,8.0
2018-03-18,7.0
2018-03-19,20.0
2018-03-20,40.0
2018-03-21,46.0
2018-03-22,30.0
2018-03-23,28.0
2018-03-24,8.0
2018-03-25,0.0
2018-03-26,27.0
2018-03-27,30.0
2018-03-28,31.0
2018-03-29,35.0
2018-03-30,30.0
2018-03-31,0.0
2018-04-01,4.0
2018-04-02,21.0
2018-04-03,47.0
2018-04-04,43.0
2018-04-05,34.0
2018-04-06,32.0
2018-04-07,4.0
2018-04-08,0.0
2018-04-09,13.0
2018-04-10,46.0
2018-04-11,43.0
2018-04-12,24.0
2018-04-13,21.0
2018-04-14,19.0
2018-04-15,8.0
2018-04-16,23.0
2018-04-17,33.0
2018-04-18,20.0
2018-04-19,45.0
2018-04-20,21.0
2018-04-21,16.0
2018-04-22,4.0
2018-04-23,16.0
2018-04-24,33.0
2018-04-25,33.0
2018-04-26,30.0
2018-04-27,14.0
2018-04-28,0.0
2018-04-29,20.0
2018-04-30,17.0
2018-05-01,25.0
2018-05-02,30.0
2018-05-03,33.0
2018-05-04,53.0
2018-05-05,4.0
2018-05-06,12.0
2018-05-07,51.0
2018-05-08,13.0
2018-05-09,30.0
2018-05-10,58.0
2018-05-11,38.0
2018-05-12,23.0
2018-05-13,12.0
2018-05-14,34.0
2018-05-15,40.0
2018-05-16,70.0
2018-05-17,44.0
2018-05-18,60.0
2018-05-19,4.0
2018-05-20,4.0
2018-05-21,55.0
2018-05-22,100.0
2018-05-23,41.0
2018-05-24,58.0
2018-05-25,60.0
2018-05-26,12.0
2018-05-27,8.0
2018-05-28,7.0
2018-05-29,47.0
2018-05-30,33.0
2018-05-31,65.0
2018-06-01,32.0
2018-06-02,12.0
2018-06-03,4.0
2018-06-04,34.0
2018-06-05,37.0
2018-06-06,37.0
2018-06-07,53.0
2018-06-08,32.0
2018-06-09,8.0
2018-06-10,8.0
2018-06-11,52.0
2018-06-12,43.0
2018-06-13,79.0
2018-06-14,65.0
2018-06-14,63.57069722086787
2018-06-15,72.55850804485618
2018-06-16,32.51584592881522
2018-06-17,17.269527059970745
