date,STX stock
2015-04-10,14
2015-04-11,16
2015-04-12,15
2015-04-13,51
2015-04-14,13
2015-04-15,26
2015-04-16,13
2015-04-17,40
2015-04-18,15
2015-04-19,15
2015-04-20,13
2015-04-21,13
2015-04-22,0
2015-04-23,26
2015-04-24,0
2015-04-25,0
2015-04-26,15
2015-04-27,25
2015-04-28,38
2015-04-29,25
2015-04-30,0
2015-05-01,0
2015-05-02,0
2015-05-03,15
2015-05-04,0
2015-05-05,13
2015-05-06,13
2015-05-07,26
2015-05-08,14
2015-05-09,31
2015-05-10,16
2015-05-11,13
2015-05-12,13
2015-05-13,13
2015-05-14,26
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,25
2015-05-19,38
2015-05-20,38
2015-05-21,13
2015-05-22,0
2015-05-23,30
2015-05-24,16
2015-05-25,0
2015-05-26,0
2015-05-27,25
2015-05-28,38
2015-05-29,40
2015-05-30,15
2015-05-31,0
2015-06-01,25
2015-06-02,13
2015-06-03,26
2015-06-04,13
2015-06-05,14
2015-06-06,0
2015-06-07,0
2015-06-08,13
2015-06-09,25
2015-06-10,0
2015-06-11,26
2015-06-12,13
2015-06-13,0
2015-06-14,0
2015-06-15,13
2015-06-16,25
2015-06-17,26
2015-06-18,39
2015-06-19,0
2015-06-20,15
2015-06-21,0
2015-06-22,26
2015-06-23,0
2015-06-24,38
2015-06-25,26
2015-06-26,54
2015-06-27,0
2015-06-28,0
2015-06-29,39
2015-06-30,39
2015-07-01,0
2015-07-02,13
2015-07-03,0
2015-07-04,16
2015-07-05,0
2015-07-06,25
2015-07-07,13
2015-07-08,13
2015-07-09,13
2015-07-10,13
2015-07-11,16
2015-07-12,31
2015-07-13,13
2015-07-14,39
2015-07-15,13
2015-07-16,0
2015-07-17,41
2015-07-18,50
2015-07-19,0
2015-07-20,27
2015-07-21,26
2015-07-22,13
2015-07-23,26
2015-07-24,41
2015-07-25,15
2015-07-26,0
2015-07-27,13
2015-07-28,25
2015-07-29,13
2015-07-30,39
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,13
2015-08-04,51
2015-08-05,13
2015-08-06,40
2015-08-07,80
2015-08-08,15
2015-08-09,0
2015-08-10,26
2015-08-11,0
2015-08-12,13
2015-08-13,0
2015-08-14,13
2015-08-15,15
2015-08-16,15
2015-08-17,13
2015-08-18,13
2015-08-19,0
2015-08-20,64
2015-08-21,40
2015-08-22,15
2015-08-23,30
2015-08-24,74
2015-08-25,62
2015-08-26,13
2015-08-27,13
2015-08-28,40
2015-08-29,0
2015-08-30,0
2015-08-31,12
2015-09-01,49
2015-09-02,37
2015-09-03,25
2015-09-04,39
2015-09-05,0
2015-09-06,0
2015-09-07,39
2015-09-08,25
2015-09-09,12
2015-09-10,25
2015-09-11,51
2015-09-12,0
2015-09-13,14
2015-09-14,0
2015-09-15,12
2015-09-16,25
2015-09-17,12
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,36
2015-09-22,12
2015-09-23,37
2015-09-24,62
2015-09-25,13
2015-09-26,44
2015-09-27,0
2015-09-28,12
2015-09-29,12
2015-09-30,61
2015-10-01,12
2015-10-02,51
2015-10-03,14
2015-10-04,28
2015-10-05,36
2015-10-06,0
2015-10-07,24
2015-10-08,0
2015-10-09,50
2015-10-10,14
2015-10-11,14
2015-10-12,50
2015-10-13,47
2015-10-14,24
2015-10-15,36
2015-10-16,100
2015-10-17,56
2015-10-18,0
2015-10-19,47
2015-10-20,59
2015-10-21,71
2015-10-22,73
2015-10-23,13
2015-10-24,14
2015-10-25,0
2015-10-26,23
2015-10-27,0
2015-10-28,47
2015-10-29,36
2015-10-30,76
2015-10-31,14
2015-11-01,14
2015-11-02,36
2015-11-03,0
2015-11-04,23
2015-11-05,0
2015-11-06,25
2015-11-07,28
2015-11-08,0
2015-11-09,24
2015-11-10,0
2015-11-11,0
2015-11-12,25
2015-11-13,13
2015-11-14,14
2015-11-15,0
2015-11-16,23
2015-11-17,47
2015-11-18,36
2015-11-19,12
2015-11-20,0
2015-11-21,0
2015-11-22,14
2015-11-23,12
2015-11-24,23
2015-11-25,0
2015-11-26,0
2015-11-27,13
2015-11-28,0
2015-11-29,14
2015-11-30,12
2015-12-01,0
2015-12-02,47
2015-12-03,12
2015-12-04,12
2015-12-05,0
2015-12-06,27
2015-12-07,24
2015-12-08,36
2015-12-09,59
2015-12-10,12
2015-12-11,50
2015-12-12,0
2015-12-13,0
2015-12-14,36
2015-12-15,49
2015-12-16,12
2015-12-17,25
2015-12-18,40
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24,15
2015-12-25,0
2015-12-26,0
