date,SWKS stock
2017-10-06,32
2017-10-07,18
2017-10-08,12
2017-10-09,35
2017-10-10,30
2017-10-11,25
2017-10-12,21
2017-10-13,32
2017-10-14,24
2017-10-15,0
2017-10-16,15
2017-10-17,20
2017-10-18,10
2017-10-19,36
2017-10-20,37
2017-10-21,0
2017-10-22,0
2017-10-23,40
2017-10-24,69
2017-10-25,25
2017-10-26,20
2017-10-27,32
2017-10-28,35
2017-10-29,0
2017-10-30,60
2017-10-31,61
2017-11-01,15
2017-11-02,41
2017-11-03,41
2017-11-04,0
2017-11-05,11
2017-11-06,73
2017-11-07,88
2017-11-08,50
2017-11-09,59
2017-11-10,21
2017-11-11,28
2017-11-12,11
2017-11-13,20
2017-11-14,25
2017-11-15,44
2017-11-16,34
2017-11-17,46
2017-11-18,0
2017-11-19,22
2017-11-20,10
2017-11-21,44
2017-11-22,30
2017-11-23,10
2017-11-24,20
2017-11-25,11
2017-11-26,11
2017-11-27,14
2017-11-28,10
2017-11-29,34
2017-11-30,15
2017-12-01,21
2017-12-02,11
2017-12-03,22
2017-12-04,19
2017-12-05,24
2017-12-06,29
2017-12-07,30
2017-12-08,58
2017-12-09,17
2017-12-10,11
2017-12-11,19
2017-12-12,34
2017-12-13,25
2017-12-14,45
2017-12-15,31
2017-12-16,0
2017-12-17,11
2017-12-18,50
2017-12-19,56
2017-12-20,52
2017-12-21,37
2017-12-22,17
2017-12-23,12
2017-12-24,0
2017-12-25,0
2017-12-26,28
2017-12-27,32
2017-12-28,26
2017-12-29,50
2017-12-30,0
2017-12-31,0
2018-01-01,18
2018-01-02,21
2018-01-03,30
2018-01-04,60
2018-01-05,30
2018-01-06,17
2018-01-07,11
2018-01-08,24
2018-01-09,48
2018-01-10,34
2018-01-11,39
2018-01-12,20
2018-01-13,17
2018-01-14,11
2018-01-15,14
2018-01-16,24
2018-01-17,57
2018-01-18,24
2018-01-19,55
2018-01-20,27
2018-01-21,16
2018-01-22,38
2018-01-23,24
2018-01-24,24
2018-01-25,34
2018-01-26,35
2018-01-27,22
2018-01-28,11
2018-01-29,24
2018-01-30,14
2018-01-31,43
2018-02-01,62
2018-02-02,59
2018-02-03,22
2018-02-04,11
2018-02-05,66
2018-02-06,100
2018-02-07,57
2018-02-08,24
2018-02-09,60
2018-02-10,22
2018-02-11,0
2018-02-12,39
2018-02-13,34
2018-02-14,24
2018-02-15,34
2018-02-16,20
2018-02-17,16
2018-02-18,11
2018-02-19,29
2018-02-20,37
2018-02-21,28
2018-02-22,10
2018-02-23,35
2018-02-24,11
2018-02-25,21
2018-02-26,33
2018-02-27,37
2018-02-28,33
2018-03-01,32
2018-03-02,39
2018-03-03,11
2018-03-04,32
2018-03-05,28
2018-03-06,23
2018-03-07,33
2018-03-08,53
2018-03-09,45
2018-03-10,11
2018-03-11,0
2018-03-12,42
2018-03-13,33
2018-03-14,28
2018-03-15,28
2018-03-16,29
2018-03-17,11
2018-03-18,11
2018-03-19,38
2018-03-20,38
2018-03-21,28
2018-03-22,19
2018-03-23,44
2018-03-24,11
2018-03-25,16
2018-03-26,33
2018-03-27,53
2018-03-28,15
2018-03-29,25
2018-03-30,33
2018-03-31,11
2018-04-01,11
2018-04-02,15
2018-04-03,28
2018-04-04,29
2018-04-05,15
2018-04-06,25
2018-04-07,11
2018-04-08,11
2018-04-09,19
