date,SYMC stock
2015-04-10,13
2015-04-11,23
2015-04-12,15
2015-04-13,19
2015-04-14,19
2015-04-15,25
2015-04-16,76
2015-04-17,33
2015-04-18,0
2015-04-19,0
2015-04-20,19
2015-04-21,19
2015-04-22,13
2015-04-23,13
2015-04-24,13
2015-04-25,30
2015-04-26,15
2015-04-27,12
2015-04-28,18
2015-04-29,25
2015-04-30,52
2015-05-01,28
2015-05-02,22
2015-05-03,15
2015-05-04,25
2015-05-05,31
2015-05-06,25
2015-05-07,25
2015-05-08,13
2015-05-09,15
2015-05-10,15
2015-05-11,13
2015-05-12,19
2015-05-13,25
2015-05-14,39
2015-05-15,33
2015-05-16,0
2015-05-17,0
2015-05-18,19
2015-05-19,0
2015-05-20,31
2015-05-21,13
2015-05-22,0
2015-05-23,15
2015-05-24,0
2015-05-25,13
2015-05-26,25
2015-05-27,25
2015-05-28,12
2015-05-29,13
2015-05-30,30
2015-05-31,15
2015-06-01,31
2015-06-02,12
2015-06-03,31
2015-06-04,0
2015-06-05,13
2015-06-06,0
2015-06-07,15
2015-06-08,31
2015-06-09,25
2015-06-10,12
2015-06-11,13
2015-06-12,13
2015-06-13,0
2015-06-14,0
2015-06-15,19
2015-06-16,25
2015-06-17,12
2015-06-18,26
2015-06-19,53
2015-06-20,0
2015-06-21,0
2015-06-22,12
2015-06-23,13
2015-06-24,13
2015-06-25,25
2015-06-26,20
2015-06-27,15
2015-06-28,0
2015-06-29,13
2015-06-30,13
2015-07-01,13
2015-07-02,38
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,12
2015-07-07,0
2015-07-08,38
2015-07-09,13
2015-07-10,13
2015-07-11,0
2015-07-12,30
2015-07-13,12
2015-07-14,25
2015-07-15,0
2015-07-16,26
2015-07-17,13
2015-07-18,0
2015-07-19,0
2015-07-20,13
2015-07-21,0
2015-07-22,13
2015-07-23,0
2015-07-24,13
2015-07-25,30
2015-07-26,0
2015-07-27,19
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,13
2015-08-01,15
2015-08-02,0
2015-08-03,0
2015-08-04,25
2015-08-05,13
2015-08-06,13
2015-08-07,26
2015-08-08,30
2015-08-09,0
2015-08-10,38
2015-08-11,100
2015-08-12,50
2015-08-13,38
2015-08-14,26
2015-08-15,15
2015-08-16,22
2015-08-17,25
2015-08-18,31
2015-08-19,13
2015-08-20,25
2015-08-21,13
2015-08-22,15
2015-08-23,0
2015-08-24,18
2015-08-25,0
2015-08-26,24
2015-08-27,12
2015-08-28,26
2015-08-29,0
2015-08-30,29
2015-08-31,30
2015-09-01,0
2015-09-02,12
2015-09-03,19
2015-09-04,19
2015-09-05,29
2015-09-06,0
2015-09-07,19
2015-09-08,36
2015-09-09,0
2015-09-10,18
2015-09-11,0
2015-09-12,14
2015-09-13,0
2015-09-14,24
2015-09-15,18
2015-09-16,12
2015-09-17,12
2015-09-18,12
2015-09-19,42
2015-09-20,0
2015-09-21,12
2015-09-22,24
2015-09-23,0
2015-09-24,24
2015-09-25,25
2015-09-26,14
2015-09-27,0
2015-09-28,23
2015-09-29,0
2015-09-30,12
2015-10-01,24
2015-10-02,25
2015-10-03,14
2015-10-04,0
2015-10-05,0
2015-10-06,23
2015-10-07,12
2015-10-08,24
2015-10-09,24
2015-10-10,14
2015-10-11,21
2015-10-12,24
2015-10-13,17
2015-10-14,23
2015-10-15,12
2015-10-16,18
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,23
2015-10-21,12
2015-10-22,12
2015-10-23,18
2015-10-24,14
2015-10-25,0
2015-10-26,11
2015-10-27,17
2015-10-28,17
2015-10-29,12
2015-10-30,12
2015-10-31,0
2015-11-01,14
2015-11-02,23
2015-11-03,12
2015-11-04,11
2015-11-05,12
2015-11-06,24
2015-11-07,0
2015-11-08,14
2015-11-09,23
2015-11-10,12
2015-11-11,12
2015-11-12,12
2015-11-13,12
2015-11-14,0
2015-11-15,0
2015-11-16,0
2015-11-17,12
2015-11-18,12
2015-11-19,0
2015-11-20,12
2015-11-21,0
2015-11-22,0
2015-11-23,12
2015-11-24,23
2015-11-25,0
2015-11-26,12
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,11
2015-12-01,11
2015-12-02,12
2015-12-03,35
2015-12-04,12
2015-12-05,14
2015-12-06,13
2015-12-07,0
2015-12-08,24
2015-12-09,23
2015-12-10,35
2015-12-11,30
2015-12-12,27
2015-12-13,13
2015-12-14,11
2015-12-15,18
2015-12-16,18
2015-12-17,12
2015-12-18,13
2015-12-19,15
2015-12-20,0
2015-12-21,0
2015-12-22,13
2015-12-23,13
2015-12-24,44
2015-12-25,64
2015-12-26,15
