date,Shire PLC,isPartial
2013-02-19,25,False
2013-02-20,50,False
2013-02-21,50,False
2013-02-22,26,False
2013-02-23,29,False
2013-02-24,0,False
2013-02-25,24,False
2013-02-26,0,False
2013-02-27,24,False
2013-02-28,50,False
2013-03-01,25,False
2013-03-02,29,False
2013-03-03,29,False
2013-03-04,25,False
2013-03-05,25,False
2013-03-06,0,False
2013-03-07,50,False
2013-03-08,0,False
2013-03-09,0,False
2013-03-10,28,False
2013-03-11,0,False
2013-03-12,24,False
2013-03-13,48,False
2013-03-14,72,False
2013-03-15,0,False
2013-03-16,29,False
2013-03-17,28,False
2013-03-18,0,False
2013-03-19,24,False
2013-03-20,0,False
2013-03-21,0,False
2013-03-22,0,False
2013-03-23,29,False
2013-03-24,0,False
2013-03-25,49,False
2013-03-26,49,False
2013-03-27,38,False
2013-03-28,26,False
2013-03-29,28,False
2013-03-30,0,False
2013-03-31,30,False
2013-04-01,51,False
2013-04-02,24,False
2013-04-03,24,False
2013-04-04,0,False
2013-04-05,0,False
2013-04-06,0,False
2013-04-07,0,False
2013-04-08,0,False
2013-04-09,0,False
2013-04-10,24,False
2013-04-11,24,False
2013-04-12,0,False
2013-04-13,29,False
2013-04-14,29,False
2013-04-15,24,False
2013-04-16,0,False
2013-04-17,24,False
2013-04-18,0,False
2013-04-19,0,False
2013-04-20,0,False
2013-04-21,0,False
2013-04-22,24,False
2013-04-23,0,False
2013-04-24,0,False
2013-04-25,25,False
2013-04-26,26,False
2013-04-27,0,False
2013-04-28,29,False
2013-04-29,0,False
2013-04-30,24,False
2013-05-01,0,False
2013-05-02,49,False
2013-05-03,78,False
2013-05-04,0,False
2013-05-05,0,False
2013-05-06,0,False
2013-05-07,48,False
2013-05-08,24,False
2013-05-09,25,False
2013-05-10,51,False
2013-05-11,29,False
2013-05-12,0,False
2013-05-13,24,False
2013-05-14,0,False
2013-05-15,24,False
2013-05-16,48,False
2013-05-17,25,False
2013-05-18,0,False
2013-05-19,0,False
2013-05-20,24,False
2013-05-21,23,False
2013-05-22,0,False
2013-05-23,24,False
2013-05-24,100,False
2013-05-25,0,False
2013-05-26,29,False
2013-05-27,0,False
2013-05-28,0,False
2013-05-29,35,False
2013-05-30,0,False
2013-05-31,0,False
2013-06-01,0,False
2013-06-02,0,False
2013-06-03,0,False
2013-06-04,0,False
2013-06-05,48,False
2013-06-06,24,False
2013-06-07,0,False
2013-06-08,0,False
2013-06-09,0,False
2013-06-10,23,False
2013-06-11,0,False
2013-06-12,24,False
2013-06-13,0,False
2013-06-14,0,False
2013-06-15,30,False
2013-06-16,0,False
2013-06-17,24,False
2013-06-18,0,False
2013-06-19,0,False
2013-06-20,0,False
2013-06-21,0,False
2013-06-22,0,False
2013-06-23,29,False
2013-06-24,0,False
2013-06-25,24,False
2013-06-26,0,False
2013-06-27,0,False
2013-06-28,0,False
2013-06-29,0,False
2013-06-30,0,False
2013-07-01,24,False
2013-07-02,0,False
2013-07-03,24,False
2013-07-04,0,False
2013-07-05,27,False
2013-07-06,0,False
2013-07-07,0,False
2013-07-08,24,False
2013-07-09,0,False
2013-07-10,0,False
2013-07-11,0,False
2013-07-12,52,False
2013-07-13,0,False
2013-07-14,0,False
2013-07-15,25,False
2013-07-16,0,False
2013-07-17,25,False
2013-07-18,25,False
2013-07-19,26,False
2013-07-20,0,False
2013-07-21,0,False
2013-07-22,0,False
2013-07-23,24,False
2013-07-24,0,False
2013-07-25,25,False
2013-07-26,78,False
2013-07-27,30,False
2013-07-28,0,False
2013-07-29,48,False
2013-07-30,0,False
2013-07-31,0,False
2013-08-01,25,False
2013-08-02,0,False
2013-08-03,0,False
2013-08-04,0,False
2013-08-05,0,False
2013-08-06,0,False
2013-08-07,25,False
2013-08-08,25,False
2013-08-09,52,False
2013-08-10,0,False
2013-08-11,0,False
2013-08-12,37,False
2013-08-13,24,False
