date,Starbucks,isPartial
2011-01-01,53,False
2011-01-02,45,False
2011-01-03,43,False
2011-01-04,48,False
2011-01-05,65,False
2011-01-06,100,False
2011-01-07,64,False
2011-01-08,54,False
2011-01-09,53,False
2011-01-10,49,False
2011-01-11,50,False
2011-01-12,44,False
2011-01-13,48,False
2011-01-14,50,False
2011-01-15,46,False
2011-01-16,44,False
2011-01-17,52,False
2011-01-18,65,False
2011-01-19,64,False
2011-01-20,53,False
2011-01-21,52,False
2011-01-22,52,False
2011-01-23,47,False
2011-01-24,44,False
2011-01-25,46,False
2011-01-26,45,False
2011-01-27,49,False
2011-01-28,47,False
2011-01-29,45,False
2011-01-30,43,False
2011-01-31,45,False
2011-02-01,46,False
2011-02-02,44,False
2011-02-03,42,False
2011-02-04,43,False
2011-02-05,43,False
2011-02-06,40,False
2011-02-07,42,False
2011-02-08,47,False
2011-02-09,45,False
2011-02-10,45,False
2011-02-11,43,False
2011-02-12,41,False
2011-02-13,42,False
2011-02-14,43,False
2011-02-15,43,False
2011-02-16,41,False
2011-02-17,43,False
2011-02-18,44,False
2011-02-19,43,False
2011-02-20,46,False
2011-02-21,41,False
2011-02-22,41,False
2011-02-23,45,False
2011-02-24,42,False
2011-02-25,41,False
2011-02-26,42,False
2011-02-27,44,False
2011-02-28,40,False
2011-03-01,41,False
2011-03-02,44,False
2011-03-03,44,False
2011-03-04,41,False
2011-03-05,46,False
2011-03-06,48,False
2011-03-07,45,False
2011-03-08,61,False
2011-03-09,60,False
2011-03-10,57,False
2011-03-11,51,False
2011-03-12,47,False
2011-03-13,42,False
2011-03-14,43,False
2011-03-15,46,False
2011-03-16,47,False
2011-03-17,44,False
2011-03-18,45,False
2011-03-19,45,False
2011-03-20,46,False
2011-03-21,44,False
2011-03-22,46,False
2011-03-23,48,False
2011-03-24,49,False
2011-03-25,44,False
2011-03-26,44,False
2011-03-27,49,False
2011-03-28,42,False
2011-03-29,45,False
2011-03-30,45,False
2011-03-31,46,False
2011-04-01,46,False
2011-04-02,47,False
2011-04-03,46,False
2011-04-04,41,False
2011-04-05,42,False
2011-04-06,46,False
2011-04-07,45,False
2011-04-08,44,False
2011-04-09,48,False
2011-04-10,44,False
2011-04-11,42,False
2011-04-12,46,False
2011-04-13,45,False
2011-04-14,42,False
2011-04-15,42,False
2011-04-16,42,False
2011-04-17,44,False
2011-04-18,43,False
2011-04-19,44,False
2011-04-20,47,False
2011-04-21,50,False
2011-04-22,91,False
2011-04-23,48,False
2011-04-24,56,False
2011-04-25,46,False
2011-04-26,42,False
2011-04-27,45,False
2011-04-28,43,False
2011-04-29,43,False
2011-04-30,46,False
2011-05-01,47,False
2011-05-02,42,False
2011-05-03,47,False
2011-05-04,48,False
2011-05-05,47,False
2011-05-06,57,False
2011-05-07,53,False
2011-05-08,52,False
2011-05-09,53,False
2011-05-10,54,False
2011-05-11,52,False
2011-05-12,49,False
2011-05-13,53,False
2011-05-14,55,False
2011-05-15,52,False
2011-05-16,50,False
2011-05-17,49,False
2011-05-18,51,False
2011-05-19,52,False
2011-05-20,50,False
2011-05-21,44,False
2011-05-22,49,False
2011-05-23,43,False
2011-05-24,45,False
2011-05-25,45,False
2011-05-26,46,False
2011-05-27,45,False
2011-05-28,45,False
2011-05-29,47,False
2011-05-30,45,False
2011-05-31,44,False
2011-06-01,45,False
2011-06-02,47,False
2011-06-03,44,False
2011-06-04,46,False
2011-06-05,47,False
2011-06-06,44,False
2011-06-07,45,False
2011-06-08,46,False
2011-06-09,43,False
2011-06-10,43,False
2011-06-11,48,False
2011-06-12,45,False
2011-06-13,45,False
2011-06-14,47,False
2011-06-15,48,False
2011-06-16,46,False
2011-06-17,44,False
2011-06-18,45,False
2011-06-19,44,False
2011-06-20,43,False
2011-06-21,42,False
2011-06-22,45,False
2011-06-23,46,False
2011-06-24,46,False
2011-06-25,44,False
2011-06-26,43,False
2011-06-27,44,False
2011-06-28,46,False
2011-06-29,45,False
2011-06-30,47,False
2011-07-01,45,False
2011-07-02,47,False
2011-07-03,40,False
2011-07-04,42,False
2011-07-05,42,False
2011-07-06,43,False
2011-07-07,46,False
2011-07-08,43,False
2011-07-09,45,False
2011-07-10,49,False
2011-07-11,45,False
2011-07-12,49,False
2011-07-13,46,False
2011-07-14,48,False
2011-07-15,48,False
2011-07-16,50,False
2011-07-17,47,False
2011-07-18,44,False
2011-07-19,47,False
2011-07-20,48,False
2011-07-21,47,False
2011-07-22,46,False
2011-07-23,46,False
2011-07-24,46,False
2011-07-25,43,False
2011-07-26,45,False
2011-07-27,45,False
2011-07-28,47,False
2011-07-29,50,False
2011-07-30,47,False
2011-07-31,47,False
2011-08-01,48,False
2011-08-02,48,False
2011-08-03,48,False
2011-08-04,48,False
2011-08-05,53,False
2011-08-06,46,False
2011-08-07,50,False
2011-08-08,44,False
2011-08-09,45,False
2011-08-10,45,False
2011-08-11,44,False
2011-08-12,48,False
2011-08-13,45,False
2011-08-14,49,False
2011-08-15,49,False
2011-08-16,51,False
2011-08-17,53,False
2011-08-18,51,False
2011-08-19,46,False
2011-08-20,50,False
2011-08-21,45,False
2011-08-22,44,False
2011-08-23,44,False
2011-08-24,47,False
2011-08-25,47,False
2011-08-26,44,False
2011-08-27,45,False
2011-08-28,51,False
2011-08-29,48,False
2011-08-30,47,False
2011-08-31,45,False
