date,value
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,0.0
2018-04-12,0.0
2018-04-13,51.0
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,0.0
2018-04-17,72.0
2018-04-18,24.0
2018-04-19,25.0
2018-04-20,0.0
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,72.0
2018-04-24,0.0
2018-04-25,24.0
2018-04-26,0.0
2018-04-27,26.0
2018-04-28,0.0
2018-04-29,0.0
2018-04-30,75.0
2018-05-01,51.0
2018-05-02,24.0
2018-05-03,0.0
2018-05-04,0.0
2018-05-05,29.0
2018-05-06,0.0
2018-05-07,98.0
2018-05-08,49.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,28.0
2018-05-13,0.0
2018-05-14,48.0
2018-05-15,24.0
2018-05-16,24.0
2018-05-17,49.0
2018-05-18,51.0
2018-05-19,28.0
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,24.0
2018-05-23,49.0
2018-05-24,25.0
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,28.0
2018-05-28,75.0
2018-05-29,49.0
2018-05-30,49.0
2018-05-31,100.0
2018-06-01,51.0
2018-06-02,0.0
2018-06-03,57.0
2018-06-04,98.0
2018-06-05,48.0
2018-06-06,25.0
2018-06-07,24.0
2018-06-08,0.0
2018-06-09,0.0
2018-06-10,57.0
2018-06-11,47.0
2018-06-12,45.0
2018-06-13,69.0
2018-06-14,48.0
2018-06-14,58.406448337141406
2018-06-15,69.75831429296775
2018-06-16,30.793602437166793
2018-06-17,13.370906321401371
