date,VOD stock
2013-11-06,0
2013-11-07,25
2013-11-08,0
2013-11-09,0
2013-11-10,0
2013-11-11,0
2013-11-12,12
2013-11-13,12
2013-11-14,24
2013-11-15,38
2013-11-16,14
2013-11-17,0
2013-11-18,12
2013-11-19,24
2013-11-20,0
2013-11-21,12
2013-11-22,12
2013-11-23,0
2013-11-24,14
2013-11-25,0
2013-11-26,35
2013-11-27,12
2013-11-28,0
2013-11-29,13
2013-11-30,14
2013-12-01,13
2013-12-02,34
2013-12-03,0
2013-12-04,12
2013-12-05,12
2013-12-06,0
2013-12-07,0
2013-12-08,14
2013-12-09,0
2013-12-10,0
2013-12-11,0
2013-12-12,12
2013-12-13,51
2013-12-14,0
2013-12-15,0
2013-12-16,12
2013-12-17,12
2013-12-18,61
2013-12-19,12
2013-12-20,26
2013-12-21,0
2013-12-22,15
2013-12-23,13
2013-12-24,15
2013-12-25,16
2013-12-26,54
2013-12-27,40
2013-12-28,0
2013-12-29,0
2013-12-30,13
2013-12-31,29
2014-01-01,0
2014-01-02,0
2014-01-03,25
2014-01-04,14
2014-01-05,0
2014-01-06,0
2014-01-07,0
2014-01-08,23
2014-01-09,0
2014-01-10,12
2014-01-11,14
2014-01-12,0
2014-01-13,11
2014-01-14,11
2014-01-15,34
2014-01-16,12
2014-01-17,0
2014-01-18,14
2014-01-19,0
2014-01-20,0
2014-01-21,11
2014-01-22,11
2014-01-23,34
2014-01-24,47
2014-01-25,0
2014-01-26,27
2014-01-27,23
2014-01-28,34
2014-01-29,0
2014-01-30,12
2014-01-31,12
2014-02-01,0
2014-02-02,0
2014-02-03,0
2014-02-04,0
2014-02-05,0
2014-02-06,31
2014-02-07,13
2014-02-08,0
2014-02-09,13
2014-02-10,56
2014-02-11,11
2014-02-12,11
2014-02-13,0
2014-02-14,12
2014-02-15,13
2014-02-16,0
2014-02-17,11
2014-02-18,11
2014-02-19,0
2014-02-20,0
2014-02-21,47
2014-02-22,0
2014-02-23,13
2014-02-24,100
2014-02-25,22
2014-02-26,45
2014-02-27,23
2014-02-28,72
2014-03-01,54
2014-03-02,0
2014-03-03,23
2014-03-04,11
2014-03-05,34
2014-03-06,23
2014-03-07,24
2014-03-08,0
2014-03-09,0
2014-03-10,34
2014-03-11,45
2014-03-12,34
2014-03-13,45
2014-03-14,12
2014-03-15,0
2014-03-16,0
2014-03-17,23
2014-03-18,22
2014-03-19,0
2014-03-20,11
2014-03-21,0
2014-03-22,13
2014-03-23,0
2014-03-24,0
2014-03-25,11
2014-03-26,11
2014-03-27,11
2014-03-28,12
2014-03-29,0
2014-03-30,0
2014-03-31,0
2014-04-01,11
2014-04-02,0
2014-04-03,34
2014-04-04,12
2014-04-05,27
2014-04-06,0
2014-04-07,11
2014-04-08,0
2014-04-09,11
2014-04-10,11
2014-04-11,12
2014-04-12,0
2014-04-13,14
2014-04-14,0
2014-04-15,0
2014-04-16,23
2014-04-17,0
2014-04-18,13
2014-04-19,0
2014-04-20,0
2014-04-21,0
2014-04-22,0
2014-04-23,0
2014-04-24,11
2014-04-25,12
2014-04-26,0
2014-04-27,0
2014-04-28,45
2014-04-29,11
2014-04-30,0
2014-05-01,12
2014-05-02,24
2014-05-03,0
2014-05-04,0
2014-05-05,11
2014-05-06,11
2014-05-07,11
2014-05-08,11
2014-05-09,12
2014-05-10,0
2014-05-11,13
2014-05-12,11
2014-05-13,11
2014-05-14,23
2014-05-15,0
2014-05-16,0
2014-05-17,27
2014-05-18,0
2014-05-19,11
2014-05-20,33
2014-05-21,0
2014-05-22,0
2014-05-23,0
2014-05-24,0
2014-05-25,0
2014-05-26,13
2014-05-27,36
2014-05-28,0
2014-05-29,13
2014-05-30,13
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,12
2014-06-04,12
2014-06-05,13
2014-06-06,0
2014-06-07,0
2014-06-08,0
2014-06-09,0
2014-06-10,0
2014-06-11,25
2014-06-12,25
2014-06-13,0
2014-06-14,0
2014-06-15,15
2014-06-16,0
2014-06-17,0
2014-06-18,13
2014-06-19,26
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,37
2014-06-25,25
2014-06-26,0
2014-06-27,0
2014-06-28,16
2014-06-29,0
2014-06-30,0
2014-07-01,25
2014-07-02,0
2014-07-03,0
2014-07-04,14
2014-07-05,16
2014-07-06,0
2014-07-07,13
2014-07-08,12
2014-07-09,0
2014-07-10,0
2014-07-11,13
2014-07-12,0
2014-07-13,15
2014-07-14,25
2014-07-15,0
2014-07-16,0
2014-07-17,13
2014-07-18,13
2014-07-19,0
2014-07-20,0
2014-07-21,25
2014-07-22,13
2014-07-23,0
2014-07-24,13
