date,Vertex Pharmaceuticals,isPartial
2017-10-06,44,False
2017-10-07,12,False
2017-10-08,0,False
2017-10-09,32,False
2017-10-10,52,False
2017-10-11,42,False
2017-10-12,44,False
2017-10-13,22,False
2017-10-14,12,False
2017-10-15,0,False
2017-10-16,53,False
2017-10-17,73,False
2017-10-18,74,False
2017-10-19,55,False
2017-10-20,11,False
2017-10-21,25,False
2017-10-22,0,False
2017-10-23,41,False
2017-10-24,42,False
2017-10-25,21,False
2017-10-26,42,False
2017-10-27,44,False
2017-10-28,0,False
2017-10-29,48,False
2017-10-30,21,False
2017-10-31,75,False
2017-11-01,11,False
2017-11-02,21,False
2017-11-03,65,False
2017-11-04,24,False
2017-11-05,0,False
2017-11-06,41,False
2017-11-07,31,False
2017-11-08,52,False
2017-11-09,62,False
2017-11-10,43,False
2017-11-11,24,False
2017-11-12,47,False
2017-11-13,31,False
2017-11-14,41,False
2017-11-15,71,False
2017-11-16,10,False
2017-11-17,32,False
2017-11-18,12,False
2017-11-19,12,False
2017-11-20,31,False
2017-11-21,52,False
2017-11-22,21,False
2017-11-23,43,False
2017-11-24,11,False
2017-11-25,0,False
2017-11-26,0,False
2017-11-27,60,False
2017-11-28,10,False
2017-11-29,72,False
2017-11-30,31,False
2017-12-01,11,False
2017-12-02,24,False
2017-12-03,47,False
2017-12-04,41,False
2017-12-05,41,False
2017-12-06,21,False
2017-12-07,74,False
2017-12-08,76,False
2017-12-09,0,False
2017-12-10,23,False
2017-12-11,20,False
2017-12-12,30,False
2017-12-13,41,False
2017-12-14,21,False
2017-12-15,11,False
2017-12-16,36,False
2017-12-17,12,False
2017-12-18,73,False
2017-12-19,32,False
2017-12-20,33,False
2017-12-21,11,False
2017-12-22,23,False
2017-12-23,13,False
2017-12-24,13,False
2017-12-25,0,False
2017-12-26,23,False
2017-12-27,22,False
2017-12-28,67,False
2017-12-29,34,False
2017-12-30,12,False
2017-12-31,0,False
2018-01-01,13,False
2018-01-02,21,False
2018-01-03,73,False
2018-01-04,52,False
2018-01-05,0,False
2018-01-06,23,False
2018-01-07,46,False
2018-01-08,60,False
2018-01-09,30,False
2018-01-10,51,False
2018-01-11,40,False
2018-01-12,31,False
2018-01-13,23,False
2018-01-14,34,False
2018-01-15,31,False
2018-01-16,30,False
2018-01-17,69,False
2018-01-18,61,False
2018-01-19,31,False
2018-01-20,12,False
2018-01-21,11,False
2018-01-22,59,False
2018-01-23,70,False
2018-01-24,90,False
2018-01-25,71,False
2018-01-26,31,False
2018-01-27,46,False
2018-01-28,23,False
2018-01-29,60,False
2018-01-30,69,False
2018-01-31,100,False
2018-02-01,82,False
2018-02-02,51,False
2018-02-03,0,False
2018-02-04,0,False
2018-02-05,50,False
2018-02-06,79,False
2018-02-07,70,False
2018-02-08,50,False
2018-02-09,31,False
2018-02-10,12,False
2018-02-11,11,False
2018-02-12,61,False
2018-02-13,71,False
2018-02-14,51,False
2018-02-15,41,False
2018-02-16,53,False
2018-02-17,12,False
2018-02-18,34,False
2018-02-19,10,False
2018-02-20,40,False
2018-02-21,69,False
2018-02-22,71,False
2018-02-23,31,False
2018-02-24,34,False
2018-02-25,56,False
2018-02-26,39,False
2018-02-27,30,False
2018-02-28,58,False
2018-03-01,49,False
2018-03-02,20,False
2018-03-03,23,False
2018-03-04,0,False
2018-03-05,87,False
2018-03-06,68,False
2018-03-07,50,False
2018-03-08,40,False
2018-03-09,52,False
2018-03-10,11,False
2018-03-11,0,False
2018-03-12,10,False
2018-03-13,59,False
2018-03-14,39,False
2018-03-15,61,False
2018-03-16,31,False
2018-03-17,46,False
2018-03-18,0,False
2018-03-19,60,False
2018-03-20,29,False
2018-03-21,40,False
2018-03-22,30,False
2018-03-23,31,False
2018-03-24,0,False
2018-03-25,0,False
2018-03-26,40,False
2018-03-27,60,False
2018-03-28,10,False
2018-03-29,32,False
2018-03-30,0,False
2018-03-31,0,False
2018-04-01,0,False
2018-04-02,42,False
2018-04-03,40,False
2018-04-04,39,False
2018-04-05,41,False
2018-04-06,42,False
2018-04-07,12,False
2018-04-08,11,False
2018-04-09,40,False
2018-04-10,29,False
2018-04-11,49,False
2018-04-12,69,False
2018-04-13,42,False
2018-04-14,0,False
2018-04-15,11,False
2018-04-16,39,False
2018-04-17,59,False
2018-04-18,10,False
2018-04-19,20,False
2018-04-20,21,False
2018-04-21,35,False
2018-04-22,23,False
2018-04-23,68,False
2018-04-24,29,False
2018-04-25,40,False
2018-04-26,40,False
2018-04-27,85,False
2018-04-28,12,False
2018-04-29,23,False
2018-04-30,52,False
2018-05-01,32,False
2018-05-02,30,False
2018-05-03,20,False
2018-05-04,21,False
2018-05-05,23,False
2018-05-06,12,False
2018-05-07,30,False
2018-05-08,20,False
2018-05-09,80,False
2018-05-10,51,False
2018-05-11,73,False
2018-05-12,12,False
2018-05-13,46,False
2018-05-14,50,False
2018-05-15,40,False
2018-05-16,70,False
2018-05-17,71,False
2018-05-18,53,False
2018-05-19,23,False
2018-05-20,12,False
2018-05-21,61,False
2018-05-22,10,False
2018-05-23,30,False
2018-05-24,41,False
2018-05-25,11,False
2018-05-26,0,False
2018-05-27,12,False
2018-05-28,21,False
2018-05-29,70,False
2018-05-30,91,False
2018-05-31,72,False
2018-06-01,53,False
2018-06-02,12,False
2018-06-03,23,False
2018-06-04,50,False
2018-06-05,40,False
2018-06-06,50,False
2018-06-07,30,False
2018-06-08,53,False
2018-06-09,12,False
2018-06-10,0,False
2018-06-11,19,False
2018-06-12,18,False
2018-06-13,38,False
2018-06-14,10,False
2018-06-15,11,False
2018-06-16,23,False
2018-06-17,58,False
2018-06-18,20,False
2018-06-19,20,False
2018-06-20,50,False
2018-06-21,50,False
2018-06-22,31,False
2018-06-23,0,False
