date,value
2017-10-31,86.0
2017-11-01,84.0
2017-11-02,93.0
2017-11-03,97.0
2017-11-04,84.0
2017-11-05,79.0
2017-11-06,93.0
2017-11-07,88.0
2017-11-08,92.0
2017-11-09,84.0
2017-11-10,96.0
2017-11-11,86.0
2017-11-12,74.0
2017-11-13,88.0
2017-11-14,88.0
2017-11-15,88.0
2017-11-16,90.0
2017-11-17,86.0
2017-11-18,79.0
2017-11-19,76.0
2017-11-20,94.0
2017-11-21,91.0
2017-11-22,88.0
2017-11-23,89.0
2017-11-24,95.0
2017-11-25,85.0
2017-11-26,75.0
2017-11-27,93.0
2017-11-28,87.0
2017-11-29,86.0
2017-11-30,87.0
2017-12-01,87.0
2017-12-02,83.0
2017-12-03,74.0
2017-12-04,89.0
2017-12-05,88.0
2017-12-06,84.0
2017-12-07,85.0
2017-12-08,82.0
2017-12-09,82.0
2017-12-10,73.0
2017-12-11,87.0
2017-12-12,91.0
2017-12-13,86.0
2017-12-14,85.0
2017-12-15,85.0
2017-12-16,79.0
2017-12-17,72.0
2017-12-18,91.0
2017-12-19,90.0
2017-12-20,88.0
2017-12-21,90.0
2017-12-22,89.0
2017-12-23,78.0
2017-12-24,70.0
2017-12-25,81.0
2017-12-26,88.0
2017-12-27,98.0
2017-12-28,97.0
2017-12-29,96.0
2017-12-30,82.0
2017-12-31,68.0
2018-01-01,77.0
2018-01-02,100.0
2018-01-03,94.0
2018-01-04,90.0
2018-01-05,89.0
2018-01-06,76.0
2018-01-07,76.0
2018-01-08,93.0
2018-01-09,89.0
2018-01-10,89.0
2018-01-11,85.0
2018-01-12,84.0
2018-01-13,79.0
2018-01-14,68.0
2018-01-15,89.0
2018-01-16,84.0
2018-01-17,83.0
2018-01-18,88.0
2018-01-19,83.0
2018-01-20,77.0
2018-01-21,72.0
2018-01-22,89.0
2018-01-23,87.0
2018-01-24,83.0
2018-01-25,82.0
2018-01-26,77.0
2018-01-27,73.0
2018-01-28,66.0
2018-01-29,84.0
2018-01-30,83.0
2018-01-31,85.0
2018-02-01,86.0
2018-02-02,80.0
2018-02-03,77.0
2018-02-04,69.0
2018-02-05,82.0
2018-02-06,83.0
2018-02-07,82.0
2018-02-08,80.0
2018-02-09,79.0
2018-02-10,76.0
2018-02-11,68.0
2018-02-12,84.0
2018-02-13,81.0
2018-02-14,80.0
2018-02-15,82.0
2018-02-16,80.0
2018-02-17,76.0
2018-02-18,71.0
2018-02-19,86.0
2018-02-20,82.0
2018-02-21,87.0
2018-02-22,84.0
2018-02-23,80.0
2018-02-24,77.0
2018-02-25,74.0
2018-02-26,87.0
2018-02-27,87.0
2018-02-28,86.0
2018-03-01,84.0
2018-03-02,79.0
2018-03-03,77.0
2018-03-04,68.0
2018-03-05,85.0
2018-03-06,83.0
2018-03-07,85.0
2018-03-08,80.0
2018-03-09,78.0
2018-03-10,77.0
2018-03-11,68.0
2018-03-12,85.0
2018-03-13,85.0
2018-03-14,82.0
2018-03-15,79.0
2018-03-16,77.0
2018-03-17,76.0
2018-03-18,68.0
2018-03-19,83.0
2018-03-20,82.0
2018-03-21,79.0
2018-03-22,81.0
2018-03-23,82.0
2018-03-24,73.0
2018-03-25,64.0
2018-03-26,78.0
2018-03-27,81.0
2018-03-28,83.0
2018-03-29,84.0
2018-03-30,79.0
2018-03-31,72.0
2018-04-01,62.0
2018-04-02,74.0
2018-04-03,82.0
2018-04-04,79.0
2018-04-05,80.0
2018-04-06,75.0
2018-04-07,75.0
2018-04-08,64.0
2018-04-09,82.0
2018-04-10,78.0
2018-04-11,76.0
2018-04-12,77.0
2018-04-13,74.0
2018-04-14,68.0
2018-04-15,64.0
2018-04-16,78.0
2018-04-17,75.0
2018-04-18,75.0
2018-04-19,73.0
2018-04-20,72.0
2018-04-21,67.0
2018-04-22,61.0
2018-04-23,76.0
2018-04-24,79.0
2018-04-25,77.0
2018-04-26,76.0
2018-04-27,75.0
2018-04-28,68.0
2018-04-29,63.0
2018-04-30,78.0
2018-05-01,68.0
2018-05-02,79.0
2018-05-03,80.0
2018-05-04,77.0
2018-05-05,68.0
2018-05-06,64.0
2018-05-07,77.0
2018-05-08,80.0
2018-05-09,80.0
2018-05-10,75.0
2018-05-11,75.0
2018-05-12,68.0
2018-05-13,63.0
2018-05-14,77.0
2018-05-15,79.0
2018-05-16,77.0
2018-05-17,74.0
2018-05-18,73.0
2018-05-19,64.0
2018-05-20,61.0
2018-05-21,77.0
2018-05-22,77.0
2018-05-23,78.0
2018-05-24,76.0
2018-05-25,77.0
2018-05-26,65.0
2018-05-27,63.0
2018-05-28,77.0
2018-05-29,77.0
2018-05-30,81.0
2018-05-31,76.0
2018-06-01,73.0
2018-06-02,71.0
2018-06-03,63.0
2018-06-04,81.0
2018-06-05,82.0
2018-06-06,79.0
2018-06-07,78.0
2018-06-08,74.0
2018-06-09,69.0
2018-06-10,64.0
2018-06-11,83.0
2018-06-12,79.0
2018-06-13,79.0
2018-06-14,73.0
2018-06-15,74.0
2018-06-16,67.0
2018-06-17,63.0
2018-06-18,83.0
2018-06-19,80.0
2018-06-20,80.0
2018-06-21,80.0
2018-06-22,78.0
2018-06-23,69.0
2018-06-24,63.0
2018-06-25,81.0
2018-06-26,81.0
2018-06-27,83.0
2018-06-28,80.0
2018-06-29,80.0
2018-06-30,74.0
2018-07-01,66.0
2018-07-02,81.0
2018-07-03,82.0
2018-07-04,85.0
2018-07-05,83.0
2018-07-06,78.0
2018-07-07,71.0
2018-07-08,66.0
2018-07-09,83.0
2018-07-10,82.0
2018-07-11,83.0
2018-07-12,82.0
2018-07-13,81.0
2018-07-14,74.0
2018-07-15,69.0
2018-07-16,86.0
2018-07-16,90.48007828882986
2018-07-17,91.30784286313434
2018-07-18,94.53757482556587
