date,WYNN stock
2013-02-19,18
2013-02-20,53
2013-02-21,27
2013-02-22,38
2013-02-23,0
2013-02-24,0
2013-02-25,35
2013-02-26,17
2013-02-27,18
2013-02-28,18
2013-03-01,93
2013-03-02,0
2013-03-03,0
2013-03-04,18
2013-03-05,18
2013-03-06,35
2013-03-07,36
2013-03-08,18
2013-03-09,21
2013-03-10,0
2013-03-11,18
2013-03-12,17
2013-03-13,17
2013-03-14,35
2013-03-15,27
2013-03-16,0
2013-03-17,20
2013-03-18,17
2013-03-19,17
2013-03-20,17
2013-03-21,53
2013-03-22,36
2013-03-23,41
2013-03-24,0
2013-03-25,0
2013-03-26,18
2013-03-27,18
2013-03-28,19
2013-03-29,0
2013-03-30,22
2013-03-31,0
2013-04-01,0
2013-04-02,17
2013-04-03,17
2013-04-04,18
2013-04-05,18
2013-04-06,0
2013-04-07,0
2013-04-08,17
2013-04-09,17
2013-04-10,17
2013-04-11,26
2013-04-12,37
2013-04-13,0
2013-04-14,0
2013-04-15,0
2013-04-16,0
2013-04-17,0
2013-04-18,18
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,52
2013-04-23,35
2013-04-24,0
2013-04-25,36
2013-04-26,18
2013-04-27,0
2013-04-28,21
2013-04-29,35
2013-04-30,35
2013-05-01,38
2013-05-02,18
2013-05-03,37
2013-05-04,0
2013-05-05,0
2013-05-06,18
2013-05-07,0
2013-05-08,35
2013-05-09,54
2013-05-10,19
2013-05-11,0
2013-05-12,0
2013-05-13,17
2013-05-14,0
2013-05-15,17
2013-05-16,26
2013-05-17,37
2013-05-18,21
2013-05-19,0
2013-05-20,17
2013-05-21,34
2013-05-22,34
2013-05-23,17
2013-05-24,0
2013-05-25,21
2013-05-26,21
2013-05-27,18
2013-05-28,17
2013-05-29,34
2013-05-30,26
2013-05-31,36
2013-06-01,21
2013-06-02,21
2013-06-03,34
2013-06-04,17
2013-06-05,26
2013-06-06,17
2013-06-07,18
2013-06-08,0
2013-06-09,21
2013-06-10,17
2013-06-11,34
2013-06-12,17
2013-06-13,26
2013-06-14,18
2013-06-15,43
2013-06-16,0
2013-06-17,0
2013-06-18,52
2013-06-19,0
2013-06-20,35
2013-06-21,0
2013-06-22,0
2013-06-23,0
2013-06-24,17
2013-06-25,34
2013-06-26,52
2013-06-27,70
2013-06-28,18
2013-06-29,43
2013-06-30,0
2013-07-01,17
2013-07-02,0
2013-07-03,17
2013-07-04,18
2013-07-05,19
2013-07-06,22
2013-07-07,0
2013-07-08,70
2013-07-09,17
2013-07-10,0
2013-07-11,45
2013-07-12,19
2013-07-13,22
2013-07-14,0
2013-07-15,0
2013-07-16,26
2013-07-17,27
2013-07-18,18
2013-07-19,19
2013-07-20,0
2013-07-21,0
2013-07-22,44
2013-07-23,18
2013-07-24,0
2013-07-25,0
2013-07-26,18
2013-07-27,0
2013-07-28,21
2013-07-29,26
2013-07-30,52
2013-07-31,0
2013-08-01,18
2013-08-02,47
2013-08-03,0
2013-08-04,44
2013-08-05,27
2013-08-06,18
2013-08-07,18
2013-08-08,18
2013-08-09,19
2013-08-10,0
2013-08-11,0
2013-08-12,18
2013-08-13,17
2013-08-14,18
2013-08-15,37
2013-08-16,0
2013-08-17,0
2013-08-18,0
2013-08-19,17
2013-08-20,35
2013-08-21,34
2013-08-22,18
2013-08-23,18
2013-08-24,0
2013-08-25,20
2013-08-26,17
2013-08-27,50
2013-08-28,25
2013-08-29,17
2013-08-30,36
2013-08-31,21
2013-09-01,20
2013-09-02,17
2013-09-03,34
2013-09-04,0
2013-09-05,34
2013-09-06,0
2013-09-07,20
2013-09-08,0
2013-09-09,33
2013-09-10,33
2013-09-11,33
2013-09-12,25
2013-09-13,0
2013-09-14,20
2013-09-15,0
2013-09-16,17
2013-09-17,33
2013-09-18,17
2013-09-19,100
2013-09-20,18
2013-09-21,20
2013-09-22,0
2013-09-23,16
2013-09-24,16
2013-09-25,17
2013-09-26,0
2013-09-27,18
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,32
2013-10-02,33
2013-10-03,17
2013-10-04,17
2013-10-05,0
2013-10-06,0
2013-10-07,41
2013-10-08,57
2013-10-09,17
2013-10-10,17
2013-10-11,26
2013-10-12,20
2013-10-13,0
2013-10-14,50
2013-10-15,33
2013-10-16,50
2013-10-17,50
2013-10-18,43
2013-10-19,19
2013-10-20,19
2013-10-21,32
2013-10-22,16
2013-10-23,33
2013-10-24,33
2013-10-25,43
2013-10-26,19
2013-10-27,0
2013-10-28,32
2013-10-29,48
2013-10-30,49
2013-10-31,34
2013-11-01,27
2013-11-02,30
2013-11-03,19
2013-11-04,0
2013-11-05,16
2013-11-06,16
