date,Western Digital,isPartial
2015-12-26,98,False
2015-12-27,100,False
2015-12-28,95,False
2015-12-29,96,False
2015-12-30,89,False
2015-12-31,83,False
2016-01-01,73,False
2016-01-02,59,False
2016-01-03,80,False
2016-01-04,80,False
2016-01-05,78,False
2016-01-06,66,False
2016-01-07,67,False
2016-01-08,78,False
2016-01-09,64,False
2016-01-10,66,False
2016-01-11,81,False
2016-01-12,74,False
2016-01-13,71,False
2016-01-14,82,False
2016-01-15,67,False
2016-01-16,61,False
2016-01-17,71,False
2016-01-18,78,False
2016-01-19,63,False
2016-01-20,67,False
2016-01-21,75,False
2016-01-22,61,False
2016-01-23,71,False
2016-01-24,66,False
2016-01-25,81,False
2016-01-26,65,False
2016-01-27,78,False
2016-01-28,71,False
2016-01-29,72,False
2016-01-30,59,False
2016-01-31,56,False
2016-02-01,72,False
2016-02-02,68,False
2016-02-03,63,False
2016-02-04,80,False
2016-02-05,59,False
2016-02-06,65,False
2016-02-07,53,False
2016-02-08,66,False
2016-02-09,70,False
2016-02-10,60,False
2016-02-11,73,False
2016-02-12,62,False
2016-02-13,59,False
2016-02-14,55,False
2016-02-15,72,False
2016-02-16,64,False
2016-02-17,65,False
2016-02-18,59,False
2016-02-19,79,False
2016-02-20,48,False
2016-02-21,56,False
2016-02-22,67,False
2016-02-23,68,False
2016-02-24,80,False
2016-02-25,66,False
2016-02-26,63,False
2016-02-27,50,False
2016-02-28,51,False
2016-02-29,66,False
2016-03-01,67,False
2016-03-02,60,False
2016-03-03,59,False
2016-03-04,51,False
2016-03-05,59,False
2016-03-06,60,False
2016-03-07,64,False
2016-03-08,64,False
2016-03-09,66,False
2016-03-10,60,False
2016-03-11,66,False
2016-03-12,55,False
2016-03-13,47,False
2016-03-14,57,False
2016-03-15,77,False
2016-03-16,59,False
2016-03-17,68,False
2016-03-18,56,False
2016-03-19,49,False
2016-03-20,48,False
2016-03-21,60,False
2016-03-22,62,False
2016-03-23,56,False
2016-03-24,70,False
2016-03-25,60,False
2016-03-26,61,False
2016-03-27,53,False
2016-03-28,62,False
2016-03-29,62,False
2016-03-30,77,False
2016-03-31,61,False
2016-04-01,45,False
2016-04-02,57,False
2016-04-03,64,False
2016-04-04,53,False
2016-04-05,61,False
2016-04-06,67,False
2016-04-07,62,False
2016-04-08,52,False
2016-04-09,54,False
2016-04-10,46,False
2016-04-11,59,False
2016-04-12,56,False
2016-04-13,60,False
2016-04-14,63,False
2016-04-15,62,False
2016-04-16,59,False
2016-04-17,59,False
2016-04-18,60,False
2016-04-19,59,False
2016-04-20,68,False
2016-04-21,57,False
2016-04-22,48,False
2016-04-23,55,False
2016-04-24,42,False
2016-04-25,48,False
2016-04-26,51,False
2016-04-27,56,False
2016-04-28,54,False
2016-04-29,66,False
2016-04-30,58,False
2016-05-01,46,False
2016-05-02,60,False
2016-05-03,58,False
2016-05-04,54,False
2016-05-05,59,False
2016-05-06,59,False
