date,Workday,isPartial
2015-12-26,24,False
2015-12-27,27,False
2015-12-28,46,False
2015-12-29,46,False
2015-12-30,52,False
2015-12-31,44,False
2016-01-01,28,False
2016-01-02,29,False
2016-01-03,34,False
2016-01-04,75,False
2016-01-05,62,False
2016-01-06,61,False
2016-01-07,80,False
2016-01-08,70,False
2016-01-09,32,False
2016-01-10,31,False
2016-01-11,64,False
2016-01-12,63,False
2016-01-13,64,False
2016-01-14,66,False
2016-01-15,82,False
2016-01-16,39,False
2016-01-17,32,False
2016-01-18,63,False
2016-01-19,76,False
2016-01-20,92,False
2016-01-21,96,False
2016-01-22,67,False
2016-01-23,34,False
2016-01-24,37,False
2016-01-25,72,False
2016-01-26,71,False
2016-01-27,78,False
2016-01-28,71,False
2016-01-29,78,False
2016-01-30,40,False
2016-01-31,37,False
2016-02-01,80,False
2016-02-02,74,False
2016-02-03,68,False
2016-02-04,72,False
2016-02-05,69,False
2016-02-06,37,False
2016-02-07,31,False
2016-02-08,59,False
2016-02-09,71,False
2016-02-10,80,False
2016-02-11,73,False
2016-02-12,75,False
2016-02-13,32,False
2016-02-14,29,False
2016-02-15,50,False
2016-02-16,65,False
2016-02-17,69,False
2016-02-18,66,False
2016-02-19,78,False
2016-02-20,33,False
2016-02-21,32,False
2016-02-22,70,False
2016-02-23,67,False
2016-02-24,67,False
2016-02-25,72,False
2016-02-26,76,False
2016-02-27,36,False
2016-02-28,33,False
2016-02-29,74,False
2016-03-01,76,False
2016-03-02,67,False
2016-03-03,75,False
2016-03-04,69,False
2016-03-05,32,False
2016-03-06,28,False
2016-03-07,55,False
2016-03-08,58,False
2016-03-09,71,False
2016-03-10,67,False
2016-03-11,63,False
2016-03-12,32,False
2016-03-13,26,False
2016-03-14,74,False
2016-03-15,66,False
2016-03-16,72,False
2016-03-17,58,False
2016-03-18,59,False
2016-03-19,31,False
2016-03-20,29,False
2016-03-21,63,False
2016-03-22,71,False
2016-03-23,61,False
2016-03-24,68,False
2016-03-25,58,False
2016-03-26,27,False
2016-03-27,26,False
2016-03-28,60,False
2016-03-29,63,False
2016-03-30,63,False
2016-03-31,65,False
2016-04-01,64,False
2016-04-02,31,False
2016-04-03,27,False
2016-04-04,64,False
2016-04-05,74,False
2016-04-06,70,False
2016-04-07,75,False
2016-04-08,66,False
2016-04-09,38,False
2016-04-10,42,False
2016-04-11,77,False
2016-04-12,72,False
2016-04-13,70,False
2016-04-14,82,False
2016-04-15,76,False
2016-04-16,28,False
2016-04-17,32,False
2016-04-18,74,False
2016-04-19,71,False
2016-04-20,74,False
2016-04-21,81,False
2016-04-22,68,False
2016-04-23,33,False
2016-04-24,32,False
2016-04-25,75,False
2016-04-26,73,False
2016-04-27,67,False
2016-04-28,72,False
2016-04-29,69,False
2016-04-30,39,False
2016-05-01,36,False
2016-05-02,66,False
2016-05-03,64,False
2016-05-04,62,False
2016-05-05,71,False
2016-05-06,63,False
2016-05-07,36,False
2016-05-08,30,False
2016-05-09,70,False
2016-05-10,64,False
2016-05-11,69,False
2016-05-12,66,False
2016-05-13,51,False
2016-05-14,31,False
2016-05-15,24,False
2016-05-16,71,False
2016-05-17,72,False
2016-05-18,67,False
2016-05-19,70,False
2016-05-20,64,False
2016-05-21,31,False
2016-05-22,30,False
2016-05-23,62,False
