date,value
2017-10-31,65.0
2017-11-01,83.0
2017-11-02,74.0
2017-11-03,70.0
2017-11-04,29.0
2017-11-05,37.0
2017-11-06,67.0
2017-11-07,66.0
2017-11-08,67.0
2017-11-09,81.0
2017-11-10,60.0
2017-11-11,31.0
2017-11-12,36.0
2017-11-13,68.0
2017-11-14,78.0
2017-11-15,80.0
2017-11-16,72.0
2017-11-17,77.0
2017-11-18,37.0
2017-11-19,33.0
2017-11-20,72.0
2017-11-21,57.0
2017-11-22,56.0
2017-11-23,43.0
2017-11-24,39.0
2017-11-25,24.0
2017-11-26,30.0
2017-11-27,68.0
2017-11-28,71.0
2017-11-29,68.0
2017-11-30,75.0
2017-12-01,69.0
2017-12-02,34.0
2017-12-03,25.0
2017-12-04,66.0
2017-12-05,69.0
2017-12-06,72.0
2017-12-07,64.0
2017-12-08,67.0
2017-12-09,33.0
2017-12-10,17.0
2017-12-11,59.0
2017-12-12,69.0
2017-12-13,70.0
2017-12-14,64.0
2017-12-15,64.0
2017-12-16,34.0
2017-12-17,29.0
2017-12-18,62.0
2017-12-19,73.0
2017-12-20,64.0
2017-12-21,64.0
2017-12-22,54.0
2017-12-23,30.0
2017-12-24,14.0
2017-12-25,17.0
2017-12-26,42.0
2017-12-27,53.0
2017-12-28,53.0
2017-12-29,60.0
2017-12-30,28.0
2017-12-31,32.0
2018-01-01,27.0
2018-01-02,77.0
2018-01-03,77.0
2018-01-04,81.0
2018-01-05,71.0
2018-01-06,39.0
2018-01-07,29.0
2018-01-08,75.0
2018-01-09,83.0
2018-01-10,79.0
2018-01-11,82.0
2018-01-12,77.0
2018-01-13,41.0
2018-01-14,36.0
2018-01-15,61.0
2018-01-16,79.0
2018-01-17,83.0
2018-01-18,92.0
2018-01-19,87.0
2018-01-20,43.0
2018-01-21,37.0
2018-01-22,80.0
2018-01-23,92.0
2018-01-24,86.0
2018-01-25,85.0
2018-01-26,86.0
2018-01-27,54.0
2018-01-28,46.0
2018-01-29,81.0
2018-01-30,100.0
2018-01-31,87.0
2018-02-01,92.0
2018-02-02,85.0
2018-02-03,37.0
2018-02-04,39.0
2018-02-05,65.0
2018-02-06,64.0
2018-02-07,78.0
2018-02-08,81.0
2018-02-09,68.0
2018-02-10,27.0
2018-02-11,34.0
2018-02-12,78.0
2018-02-13,75.0
2018-02-14,61.0
2018-02-15,77.0
2018-02-16,65.0
2018-02-17,44.0
2018-02-18,32.0
2018-02-19,56.0
2018-02-20,66.0
2018-02-21,70.0
2018-02-22,79.0
2018-02-23,66.0
2018-02-24,35.0
2018-02-25,34.0
2018-02-26,73.0
2018-02-27,90.0
2018-02-28,83.0
2018-03-01,89.0
2018-03-02,79.0
2018-03-03,40.0
2018-03-04,37.0
2018-03-05,67.0
2018-03-06,70.0
2018-03-07,72.0
2018-03-08,72.0
2018-03-09,61.0
2018-03-10,33.0
2018-03-11,31.0
2018-03-12,65.0
2018-03-13,78.0
2018-03-14,73.0
2018-03-15,76.0
2018-03-16,67.0
2018-03-17,32.0
2018-03-18,30.0
2018-03-19,80.0
2018-03-20,71.0
2018-03-21,76.0
2018-03-22,78.0
2018-03-23,70.0
2018-03-24,42.0
2018-03-25,31.0
2018-03-26,79.0
2018-03-27,79.0
2018-03-28,80.0
2018-03-29,77.0
2018-03-30,64.0
2018-03-31,39.0
2018-04-01,34.0
2018-04-02,79.0
2018-04-03,79.0
2018-04-04,89.0
2018-04-05,85.0
2018-04-06,80.0
2018-04-07,35.0
