date,value
2017-09-30,42.0
2017-10-01,0.0
2017-10-02,18.0
2017-10-03,37.0
2017-10-04,18.0
2017-10-05,0.0
2017-10-06,19.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,37.0
2017-10-10,36.0
2017-10-11,37.0
2017-10-12,19.0
2017-10-13,0.0
2017-10-14,85.0
2017-10-15,0.0
2017-10-16,37.0
2017-10-17,18.0
2017-10-18,18.0
2017-10-19,37.0
2017-10-20,38.0
2017-10-21,21.0
2017-10-22,0.0
2017-10-23,36.0
2017-10-24,18.0
2017-10-25,18.0
2017-10-26,55.0
2017-10-27,47.0
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,36.0
2017-10-31,28.0
2017-11-01,19.0
2017-11-02,18.0
2017-11-03,37.0
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,70.0
2017-11-07,53.0
2017-11-08,0.0
2017-11-09,35.0
2017-11-10,65.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,27.0
2017-11-15,27.0
2017-11-16,18.0
2017-11-17,27.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,17.0
2017-11-21,53.0
2017-11-22,18.0
2017-11-23,0.0
2017-11-24,37.0
2017-11-25,0.0
2017-11-26,20.0
2017-11-27,26.0
2017-11-28,35.0
2017-11-29,53.0
2017-11-30,18.0
2017-12-01,19.0
2017-12-02,20.0
2017-12-03,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,18.0
2017-12-07,27.0
2017-12-08,37.0
2017-12-09,42.0
2017-12-10,20.0
2017-12-11,17.0
2017-12-12,18.0
2017-12-13,44.0
2017-12-14,55.0
2017-12-15,19.0
2017-12-16,21.0
2017-12-17,0.0
2017-12-18,18.0
2017-12-19,73.0
2017-12-20,56.0
2017-12-21,58.0
2017-12-22,20.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,20.0
2017-12-27,19.0
2017-12-28,0.0
2017-12-29,20.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,37.0
2018-01-03,18.0
2018-01-04,18.0
2018-01-05,100.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,35.0
2018-01-09,34.0
2018-01-10,44.0
2018-01-11,26.0
2018-01-12,0.0
2018-01-13,20.0
2018-01-14,0.0
2018-01-15,17.0
2018-01-16,43.0
2018-01-17,25.0
2018-01-18,17.0
2018-01-19,18.0
2018-01-20,20.0
2018-01-21,0.0
2018-01-22,0.0
2018-01-23,43.0
2018-01-24,85.0
2018-01-25,69.0
2018-01-26,72.0
2018-01-27,20.0
2018-01-28,0.0
2018-01-29,60.0
2018-01-30,17.0
2018-01-31,17.0
2018-02-01,35.0
2018-02-02,36.0
2018-02-03,20.0
2018-02-04,20.0
2018-02-05,43.0
2018-02-06,17.0
2018-02-07,42.0
2018-02-08,35.0
2018-02-09,18.0
2018-02-10,20.0
2018-02-11,0.0
2018-02-12,17.0
2018-02-13,17.0
2018-02-14,0.0
2018-02-15,17.0
2018-02-16,18.0
2018-02-17,20.0
2018-02-18,0.0
2018-02-19,26.0
2018-02-20,17.0
2018-02-21,34.0
2018-02-22,43.0
2018-02-23,53.0
2018-02-24,19.0
2018-02-25,19.0
2018-02-26,17.0
2018-02-27,25.0
2018-02-28,34.0
2018-03-01,34.0
2018-03-02,35.0
2018-03-03,0.0
2018-03-04,39.0
2018-03-05,0.0
2018-03-06,17.0
2018-03-07,51.0
2018-03-08,51.0
2018-03-09,44.0
2018-03-10,0.0
2018-03-11,19.0
2018-03-12,67.0
2018-03-13,34.0
2018-03-14,17.0
2018-03-15,26.0
2018-03-16,18.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,34.0
2018-03-20,51.0
2018-03-21,17.0
2018-03-22,17.0
2018-03-23,35.0
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,26.0
2018-03-27,17.0
2018-03-28,18.0
2018-03-29,73.0
2018-03-30,19.0
2018-03-31,0.0
2018-04-01,0.0
2018-04-02,18.0
2018-04-03,17.0
2018-04-04,34.0
2018-04-05,0.0
2018-04-06,54.0
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,34.0
2018-04-10,25.0
2018-04-11,34.0
2018-04-12,17.0
2018-04-13,18.0
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,34.0
2018-04-17,26.0
2018-04-18,17.0
2018-04-19,0.0
2018-04-20,18.0
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,17.0
2018-04-24,17.0
2018-04-25,25.0
2018-04-26,43.0
2018-04-27,18.0
2018-04-28,20.0
2018-04-29,20.0
2018-04-30,0.0
2018-05-01,0.0
2018-05-02,17.0
2018-05-03,17.0
2018-05-04,18.0
2018-05-05,40.0
2018-05-06,0.0
2018-05-07,17.0
2018-05-08,17.0
2018-05-09,17.0
2018-05-10,35.0
2018-05-11,27.0
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,34.0
2018-05-15,34.0
2018-05-16,34.0
2018-05-17,35.0
2018-05-18,0.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,17.0
2018-05-22,43.0
2018-05-23,35.0
2018-05-24,0.0
2018-05-25,36.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,18.0
2018-05-29,0.0
2018-05-30,17.0
2018-05-31,0.0
2018-06-01,18.0
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,26.0
2018-06-05,34.0
2018-06-06,26.0
2018-06-07,17.0
2018-06-08,18.0
2018-06-09,40.0
2018-06-10,0.0
2018-06-11,25.0
2018-06-12,32.0
2018-06-13,16.0
2018-06-14,51.0
2018-06-14,38.360313815537694
2018-06-15,26.527363184079604
2018-06-16,10.629927286643706
2018-06-17,6.036280137772676
