date,Xilinx,isPartial
2015-04-10,85,False
2015-04-11,45,False
2015-04-12,43,False
2015-04-13,92,False
2015-04-14,100,False
2015-04-15,83,False
2015-04-16,85,False
2015-04-17,91,False
2015-04-18,40,False
2015-04-19,35,False
2015-04-20,100,False
2015-04-21,80,False
2015-04-22,91,False
2015-04-23,84,False
2015-04-24,96,False
2015-04-25,33,False
2015-04-26,44,False
2015-04-27,88,False
2015-04-28,90,False
2015-04-29,84,False
2015-04-30,85,False
2015-05-01,54,False
2015-05-02,30,False
2015-05-03,34,False
2015-05-04,68,False
2015-05-05,81,False
2015-05-06,79,False
2015-05-07,95,False
2015-05-08,75,False
2015-05-09,41,False
2015-05-10,37,False
2015-05-11,81,False
2015-05-12,100,False
2015-05-13,83,False
2015-05-14,77,False
2015-05-15,74,False
2015-05-16,36,False
2015-05-17,39,False
2015-05-18,85,False
2015-05-19,88,False
2015-05-20,95,False
2015-05-21,76,False
2015-05-22,85,False
2015-05-23,33,False
2015-05-24,30,False
2015-05-25,56,False
2015-05-26,86,False
2015-05-27,85,False
2015-05-28,81,False
2015-05-29,89,False
2015-05-30,29,False
2015-05-31,30,False
2015-06-01,98,False
2015-06-02,95,False
2015-06-03,79,False
2015-06-04,76,False
2015-06-05,73,False
2015-06-06,36,False
2015-06-07,40,False
2015-06-08,79,False
2015-06-09,85,False
2015-06-10,85,False
2015-06-11,89,False
2015-06-12,83,False
2015-06-13,24,False
2015-06-14,39,False
2015-06-15,72,False
2015-06-16,69,False
2015-06-17,82,False
2015-06-18,69,False
2015-06-19,62,False
2015-06-20,37,False
2015-06-21,35,False
2015-06-22,72,False
2015-06-23,80,False
2015-06-24,93,False
2015-06-25,86,False
2015-06-26,81,False
2015-06-27,26,False
2015-06-28,29,False
2015-06-29,75,False
2015-06-30,72,False
2015-07-01,77,False
2015-07-02,65,False
2015-07-03,63,False
2015-07-04,29,False
2015-07-05,17,False
2015-07-06,75,False
2015-07-07,81,False
2015-07-08,67,False
2015-07-09,73,False
2015-07-10,65,False
2015-07-11,24,False
2015-07-12,21,False
2015-07-13,64,False
2015-07-14,68,False
2015-07-15,62,False
2015-07-16,76,False
2015-07-17,62,False
2015-07-18,39,False
2015-07-19,15,False
2015-07-20,73,False
2015-07-21,79,False
2015-07-22,89,False
2015-07-23,88,False
2015-07-24,58,False
2015-07-25,27,False
2015-07-26,21,False
2015-07-27,60,False
2015-07-28,73,False
2015-07-29,69,False
2015-07-30,75,False
2015-07-31,76,False
2015-08-01,30,False
2015-08-02,35,False
2015-08-03,61,False
2015-08-04,74,False
2015-08-05,82,False
2015-08-06,82,False
2015-08-07,65,False
2015-08-08,33,False
2015-08-09,40,False
2015-08-10,56,False
2015-08-11,74,False
2015-08-12,69,False
2015-08-13,72,False
2015-08-14,50,False
2015-08-15,21,False
2015-08-16,23,False
2015-08-17,74,False
2015-08-18,74,False
2015-08-19,63,False
2015-08-20,81,False
2015-08-21,63,False
2015-08-22,29,False
2015-08-23,34,False
2015-08-24,76,False
2015-08-25,84,False
2015-08-26,82,False
2015-08-27,61,False
2015-08-28,59,False
2015-08-29,27,False
2015-08-30,26,False
2015-08-31,61,False
2015-09-01,73,False
2015-09-02,74,False
2015-09-03,79,False
2015-09-04,61,False
2015-09-05,21,False
2015-09-06,29,False
2015-09-07,56,False
2015-09-08,83,False
2015-09-09,78,False
2015-09-10,90,False
2015-09-11,73,False
2015-09-12,29,False
2015-09-13,24,False
2015-09-14,72,False
2015-09-15,70,False
2015-09-16,84,False
2015-09-17,92,False
2015-09-18,71,False
2015-09-19,38,False
2015-09-20,31,False
2015-09-21,73,False
2015-09-22,73,False
2015-09-23,69,False
2015-09-24,71,False
2015-09-25,68,False
2015-09-26,32,False
2015-09-27,44,False
2015-09-28,74,False
2015-09-29,91,False
2015-09-30,93,False
2015-10-01,87,False
2015-10-02,77,False
2015-10-03,33,False
2015-10-04,45,False
2015-10-05,82,False
2015-10-06,97,False
2015-10-07,89,False
2015-10-08,76,False
2015-10-09,69,False
2015-10-10,45,False
2015-10-11,40,False
2015-10-12,81,False
2015-10-13,82,False
2015-10-14,97,False
2015-10-15,98,False
2015-10-16,90,False
2015-10-17,36,False
2015-10-18,40,False
2015-10-19,89,False
2015-10-20,89,False
2015-10-21,93,False
2015-10-22,80,False
2015-10-23,72,False
2015-10-24,26,False
2015-10-25,34,False
2015-10-26,72,False
2015-10-27,89,False
2015-10-28,84,False
2015-10-29,84,False
2015-10-30,80,False
2015-10-31,37,False
2015-11-01,45,False
2015-11-02,76,False
2015-11-03,88,False
2015-11-04,85,False
2015-11-05,81,False
2015-11-06,77,False
2015-11-07,46,False
2015-11-08,29,False
2015-11-09,63,False
2015-11-10,99,False
2015-11-11,84,False
2015-11-12,81,False
2015-11-13,66,False
2015-11-14,39,False
2015-11-15,35,False
2015-11-16,79,False
2015-11-17,69,False
2015-11-18,81,False
2015-11-19,84,False
2015-11-20,79,False
2015-11-21,29,False
2015-11-22,35,False
2015-11-23,76,False
2015-11-24,80,False
2015-11-25,96,False
2015-11-26,74,False
2015-11-27,54,False
2015-11-28,33,False
2015-11-29,31,False
2015-11-30,68,False
2015-12-01,81,False
2015-12-02,73,False
2015-12-03,83,False
2015-12-04,72,False
2015-12-05,36,False
2015-12-06,33,False
2015-12-07,79,False
2015-12-08,66,False
2015-12-09,77,False
2015-12-10,80,False
2015-12-11,78,False
2015-12-12,29,False
2015-12-13,27,False
2015-12-14,69,False
2015-12-15,78,False
2015-12-16,84,False
2015-12-17,67,False
2015-12-18,54,False
2015-12-19,31,False
2015-12-20,34,False
2015-12-21,57,False
2015-12-22,65,False
2015-12-23,64,False
2015-12-24,37,False
2015-12-25,33,False
2015-12-26,28,False
