date,value
2017-10-01,56.0
2017-10-02,78.0
2017-10-03,83.0
2017-10-04,97.0
2017-10-05,92.0
2017-10-06,75.0
2017-10-07,54.0
2017-10-08,55.0
2017-10-09,86.0
2017-10-10,85.0
2017-10-11,82.0
2017-10-12,93.0
2017-10-13,80.0
2017-10-14,54.0
2017-10-15,62.0
2017-10-16,85.0
2017-10-17,90.0
2017-10-18,85.0
2017-10-19,91.0
2017-10-20,74.0
2017-10-21,63.0
2017-10-22,54.0
2017-10-23,91.0
2017-10-24,91.0
2017-10-25,93.0
2017-10-26,89.0
2017-10-27,84.0
2017-10-28,55.0
2017-10-29,61.0
2017-10-30,78.0
2017-10-31,87.0
2017-11-01,82.0
2017-11-02,95.0
2017-11-03,77.0
2017-11-04,56.0
2017-11-05,59.0
2017-11-06,86.0
2017-11-07,82.0
2017-11-08,88.0
2017-11-09,86.0
2017-11-10,73.0
2017-11-11,54.0
2017-11-12,64.0
2017-11-13,80.0
2017-11-14,92.0
2017-11-15,90.0
2017-11-16,93.0
2017-11-17,77.0
2017-11-18,59.0
2017-11-19,55.0
2017-11-20,86.0
2017-11-21,78.0
2017-11-22,77.0
2017-11-23,61.0
2017-11-24,57.0
2017-11-25,51.0
2017-11-26,57.0
2017-11-27,83.0
2017-11-28,92.0
2017-11-29,85.0
2017-11-30,89.0
2017-12-01,78.0
2017-12-02,65.0
2017-12-03,66.0
2017-12-04,92.0
2017-12-05,90.0
2017-12-06,88.0
2017-12-07,91.0
2017-12-08,81.0
2017-12-09,59.0
2017-12-10,60.0
2017-12-11,79.0
2017-12-12,88.0
2017-12-13,81.0
2017-12-14,85.0
2017-12-15,69.0
2017-12-16,53.0
2017-12-17,52.0
2017-12-18,74.0
2017-12-19,78.0
2017-12-20,77.0
2017-12-21,73.0
2017-12-22,66.0
2017-12-23,42.0
2017-12-24,40.0
2017-12-25,35.0
2017-12-26,50.0
2017-12-27,67.0
2017-12-28,65.0
2017-12-29,55.0
2017-12-30,53.0
2017-12-31,47.0
2018-01-01,47.0
2018-01-02,72.0
2018-01-03,81.0
2018-01-04,76.0
2018-01-05,77.0
2018-01-06,58.0
2018-01-07,57.0
2018-01-08,78.0
2018-01-09,83.0
2018-01-10,89.0
2018-01-11,85.0
2018-01-12,78.0
2018-01-13,53.0
2018-01-14,57.0
2018-01-15,76.0
2018-01-16,84.0
2018-01-17,82.0
2018-01-18,87.0
2018-01-19,80.0
2018-01-20,61.0
2018-01-21,57.0
2018-01-22,85.0
2018-01-23,90.0
2018-01-24,87.0
2018-01-25,84.0
2018-01-26,74.0
2018-01-27,58.0
2018-01-28,63.0
2018-01-29,89.0
2018-01-30,92.0
2018-01-31,90.0
2018-02-01,87.0
2018-02-02,82.0
2018-02-03,61.0
2018-02-04,62.0
2018-02-05,87.0
2018-02-06,92.0
2018-02-07,91.0
2018-02-08,93.0
2018-02-09,97.0
2018-02-10,63.0
2018-02-11,58.0
2018-02-12,96.0
2018-02-13,96.0
2018-02-14,87.0
2018-02-15,85.0
2018-02-16,77.0
2018-02-17,59.0
2018-02-18,60.0
2018-02-19,79.0
2018-02-20,90.0
2018-02-21,86.0
2018-02-22,93.0
2018-02-23,82.0
2018-02-24,57.0
2018-02-25,64.0
2018-02-26,89.0
2018-02-27,93.0
2018-02-28,85.0
2018-03-01,81.0
2018-03-02,78.0
2018-03-03,55.0
2018-03-04,60.0
2018-03-05,87.0
2018-03-06,89.0
2018-03-07,85.0
2018-03-08,88.0
2018-03-09,85.0
2018-03-10,66.0
2018-03-11,65.0
2018-03-12,82.0
2018-03-13,88.0
2018-03-14,80.0
2018-03-15,83.0
2018-03-16,77.0
2018-03-17,62.0
2018-03-18,63.0
2018-03-19,89.0
2018-03-20,86.0
2018-03-21,87.0
2018-03-22,90.0
2018-03-23,80.0
2018-03-24,63.0
2018-03-25,62.0
2018-03-26,89.0
2018-03-27,92.0
2018-03-28,95.0
2018-03-29,89.0
2018-03-30,69.0
2018-03-31,54.0
2018-04-01,55.0
2018-04-02,82.0
2018-04-03,86.0
2018-04-04,84.0
2018-04-05,80.0
2018-04-06,91.0
2018-04-07,61.0
2018-04-08,71.0
2018-04-09,90.0
2018-04-10,92.0
2018-04-11,92.0
2018-04-12,86.0
2018-04-13,84.0
2018-04-14,61.0
2018-04-15,68.0
2018-04-16,87.0
2018-04-17,100.0
2018-04-18,97.0
2018-04-19,98.0
2018-04-20,82.0
2018-04-21,63.0
2018-04-22,67.0
2018-04-23,92.0
2018-04-24,95.0
2018-04-25,86.0
2018-04-26,85.0
2018-04-27,80.0
2018-04-28,62.0
2018-04-29,62.0
2018-04-30,84.0
2018-05-01,96.0
2018-05-02,95.0
2018-05-03,83.0
2018-05-04,78.0
2018-05-05,64.0
2018-05-06,62.0
2018-05-07,82.0
2018-05-08,88.0
2018-05-09,85.0
2018-05-10,80.0
2018-05-11,73.0
2018-05-12,54.0
2018-05-13,62.0
2018-05-14,84.0
2018-05-15,89.0
2018-05-16,83.0
2018-05-17,82.0
2018-05-18,72.0
2018-05-19,49.0
2018-05-20,60.0
2018-05-21,85.0
2018-05-22,84.0
2018-05-23,83.0
2018-05-24,78.0
2018-05-25,74.0
2018-05-26,51.0
2018-05-27,63.0
2018-05-28,64.0
2018-05-29,87.0
2018-05-30,90.0
2018-05-31,83.0
2018-06-01,79.0
2018-06-02,61.0
2018-06-03,66.0
2018-06-04,80.0
2018-06-05,84.0
2018-06-06,85.0
2018-06-07,78.0
2018-06-08,77.0
2018-06-09,68.0
2018-06-10,57.0
2018-06-11,80.0
2018-06-12,87.0
2018-06-13,77.0
2018-06-14,77.0
2018-06-14,76.23804506402982
2018-06-15,69.2319932998325
2018-06-16,50.31739341870644
2018-06-17,49.3146917382612
2018-06-18,71.4652834062787
2018-06-19,95.5301237369644
