date,debt
2012-06-04,37
2012-06-05,40
2012-06-06,45
2012-06-07,44
2012-06-08,42
2012-06-09,28
2012-06-10,31
2012-06-11,41
2012-06-12,47
2012-06-13,42
2012-06-14,45
2012-06-15,43
2012-06-16,28
2012-06-17,29
2012-06-18,43
2012-06-19,43
2012-06-20,42
2012-06-21,47
2012-06-22,40
2012-06-23,27
2012-06-24,28
2012-06-25,40
2012-06-26,43
2012-06-27,48
2012-06-28,43
2012-06-29,38
2012-06-30,25
2012-07-01,28
2012-07-02,39
2012-07-03,36
2012-07-04,33
2012-07-05,39
2012-07-06,38
2012-07-07,25
2012-07-08,29
2012-07-09,39
2012-07-10,46
2012-07-11,44
2012-07-12,43
2012-07-13,38
2012-07-14,27
2012-07-15,31
2012-07-16,43
2012-07-17,46
2012-07-18,44
2012-07-19,44
2012-07-20,36
2012-07-21,26
2012-07-22,30
2012-07-23,43
2012-07-24,44
2012-07-25,45
2012-07-26,44
2012-07-27,38
2012-07-28,32
2012-07-29,32
2012-07-30,39
2012-07-31,42
2012-08-01,41
2012-08-02,40
2012-08-03,37
2012-08-04,27
2012-08-05,28
2012-08-06,44
2012-08-07,43
2012-08-08,41
2012-08-09,42
2012-08-10,36
2012-08-11,31
2012-08-12,31
2012-08-13,42
2012-08-14,50
2012-08-15,48
2012-08-16,46
2012-08-17,40
2012-08-18,30
2012-08-19,31
2012-08-20,43
2012-08-21,47
2012-08-22,46
2012-08-23,45
2012-08-24,43
2012-08-25,32
2012-08-26,28
2012-08-27,43
2012-08-28,50
2012-08-29,52
2012-08-30,56
2012-08-31,51
2012-09-01,33
2012-09-02,33
2012-09-03,42
2012-09-04,65
2012-09-05,74
2012-09-06,68
2012-09-07,57
2012-09-08,36
2012-09-09,36
2012-09-10,53
2012-09-11,51
2012-09-12,50
2012-09-13,52
2012-09-14,45
2012-09-15,36
2012-09-16,32
2012-09-17,50
2012-09-18,54
2012-09-19,51
2012-09-20,52
2012-09-21,47
2012-09-22,32
2012-09-23,35
2012-09-24,49
2012-09-25,48
2012-09-26,50
2012-09-27,49
2012-09-28,48
2012-09-29,35
2012-09-30,37
2012-10-01,49
2012-10-02,49
2012-10-03,59
2012-10-04,69
2012-10-05,48
2012-10-06,33
2012-10-07,34
2012-10-08,49
2012-10-09,52
2012-10-10,52
2012-10-11,48
2012-10-12,48
2012-10-13,33
2012-10-14,34
2012-10-15,47
2012-10-16,53
2012-10-17,64
2012-10-18,52
2012-10-19,46
2012-10-20,32
2012-10-21,36
2012-10-22,52
2012-10-23,58
2012-10-24,51
2012-10-25,52
2012-10-26,46
2012-10-27,30
2012-10-28,32
2012-10-29,44
2012-10-30,43
2012-10-31,46
2012-11-01,45
2012-11-02,45
2012-11-03,32
2012-11-04,37
2012-11-05,57
2012-11-06,67
2012-11-07,100
2012-11-08,69
2012-11-09,55
2012-11-10,36
2012-11-11,35
2012-11-12,48
2012-11-13,54
2012-11-14,56
2012-11-15,55
2012-11-16,46
2012-11-17,32
2012-11-18,29
2012-11-19,48
2012-11-20,46
2012-11-21,43
2012-11-22,32
2012-11-23,34
2012-11-24,25
2012-11-25,30
2012-11-26,45
2012-11-27,53
2012-11-28,49
2012-11-29,48
2012-11-30,46
2012-12-01,32
2012-12-02,32
2012-12-03,47
2012-12-04,50
2012-12-05,54
2012-12-06,50
2012-12-07,45
2012-12-08,31
2012-12-09,28
2012-12-10,42
2012-12-11,49
2012-12-12,46
2012-12-13,41
2012-12-14,37
2012-12-15,27
2012-12-16,24
2012-12-17,36
2012-12-18,39
2012-12-19,38
2012-12-20,31
2012-12-21,27
2012-12-22,23
2012-12-23,20
2012-12-24,22
2012-12-25,17
2012-12-26,28
2012-12-27,37
2012-12-28,37
2012-12-29,30
2012-12-30,28
2012-12-31,37
2013-01-01,36
2013-01-02,57
2013-01-03,50
2013-01-04,48
2013-01-05,37
2013-01-06,36
2013-01-07,48
2013-01-08,48
2013-01-09,49
2013-01-10,50
2013-01-11,47
2013-01-12,33
2013-01-13,33
2013-01-14,57
2013-01-15,59
2013-01-16,52
2013-01-17,49
2013-01-18,42
2013-01-19,34
2013-01-20,32
2013-01-21,43
2013-01-22,46
2013-01-23,52
2013-01-24,51
2013-01-25,43
2013-01-26,32
2013-01-27,35
2013-01-28,47
2013-01-29,49
2013-01-30,48
2013-01-31,47
2013-02-01,44
2013-02-02,32
2013-02-03,30
2013-02-04,43
2013-02-05,49
2013-02-06,51
2013-02-07,49
2013-02-08,40
2013-02-09,30
2013-02-10,30
2013-02-11,44
2013-02-12,47
2013-02-13,48
2013-02-14,46
2013-02-15,39
2013-02-16,30
2013-02-17,27
2013-02-18,43
2013-02-19,44
