date,eBay,isPartial
2015-12-26,94,False
2015-12-27,100,False
2015-12-28,90,False
2015-12-29,92,False
2015-12-30,87,False
2015-12-31,76,False
2016-01-01,80,False
2016-01-02,86,False
2016-01-03,88,False
2016-01-04,79,False
2016-01-05,74,False
2016-01-06,77,False
2016-01-07,76,False
2016-01-08,73,False
2016-01-09,80,False
2016-01-10,85,False
2016-01-11,73,False
2016-01-12,71,False
2016-01-13,74,False
2016-01-14,72,False
2016-01-15,72,False
2016-01-16,80,False
2016-01-17,89,False
2016-01-18,78,False
2016-01-19,73,False
2016-01-20,70,False
2016-01-21,73,False
2016-01-22,74,False
2016-01-23,81,False
2016-01-24,89,False
2016-01-25,74,False
2016-01-26,73,False
2016-01-27,74,False
2016-01-28,73,False
2016-01-29,72,False
2016-01-30,80,False
2016-01-31,88,False
2016-02-01,78,False
2016-02-02,72,False
2016-02-03,73,False
2016-02-04,74,False
2016-02-05,72,False
2016-02-06,80,False
2016-02-07,90,False
2016-02-08,78,False
2016-02-09,76,False
2016-02-10,71,False
2016-02-11,71,False
2016-02-12,69,False
2016-02-13,79,False
2016-02-14,86,False
2016-02-15,79,False
2016-02-16,75,False
2016-02-17,72,False
2016-02-18,70,False
2016-02-19,70,False
2016-02-20,77,False
2016-02-21,90,False
2016-02-22,75,False
2016-02-23,73,False
2016-02-24,75,False
2016-02-25,72,False
2016-02-26,72,False
2016-02-27,78,False
2016-02-28,88,False
2016-02-29,74,False
2016-03-01,72,False
2016-03-02,72,False
2016-03-03,71,False
2016-03-04,72,False
2016-03-05,76,False
2016-03-06,83,False
2016-03-07,76,False
2016-03-08,70,False
2016-03-09,70,False
2016-03-10,70,False
2016-03-11,68,False
2016-03-12,78,False
2016-03-13,84,False
2016-03-14,73,False
2016-03-15,70,False
2016-03-16,68,False
2016-03-17,67,False
2016-03-18,66,False
2016-03-19,73,False
2016-03-20,83,False
2016-03-21,71,False
2016-03-22,70,False
2016-03-23,69,False
2016-03-24,67,False
2016-03-25,73,False
2016-03-26,72,False
2016-03-27,78,False
2016-03-28,78,False
2016-03-29,73,False
2016-03-30,72,False
2016-03-31,69,False
2016-04-01,71,False
2016-04-02,72,False
2016-04-03,83,False
2016-04-04,73,False
2016-04-05,69,False
2016-04-06,69,False
2016-04-07,70,False
2016-04-08,69,False
2016-04-09,77,False
2016-04-10,80,False
2016-04-11,72,False
2016-04-12,69,False
2016-04-13,65,False
2016-04-14,68,False
2016-04-15,68,False
2016-04-16,75,False
2016-04-17,81,False
2016-04-18,72,False
2016-04-19,69,False
2016-04-20,66,False
2016-04-21,64,False
2016-04-22,66,False
2016-04-23,72,False
2016-04-24,83,False
2016-04-25,69,False
2016-04-26,70,False
2016-04-27,68,False
2016-04-28,69,False
2016-04-29,68,False
2016-04-30,71,False
2016-05-01,83,False
2016-05-02,72,False
2016-05-03,70,False
2016-05-04,65,False
2016-05-05,66,False
2016-05-06,62,False
2016-05-07,67,False
2016-05-08,73,False
2016-05-09,67,False
2016-05-10,67,False
2016-05-11,67,False
2016-05-12,65,False
2016-05-13,65,False
2016-05-14,68,False
2016-05-15,76,False
2016-05-16,72,False
2016-05-17,67,False
2016-05-18,65,False
2016-05-19,67,False
2016-05-20,65,False
2016-05-21,69,False
2016-05-22,76,False
2016-05-23,69,False
2016-05-24,68,False
2016-05-25,64,False
2016-05-26,65,False
2016-05-27,63,False
2016-05-28,66,False
2016-05-29,77,False
2016-05-30,70,False
2016-05-31,69,False
2016-06-01,67,False
2016-06-02,67,False
2016-06-03,66,False
2016-06-04,71,False
2016-06-05,73,False
2016-06-06,68,False
2016-06-07,67,False
2016-06-08,66,False
2016-06-09,66,False
2016-06-10,63,False
2016-06-11,70,False
2016-06-12,77,False
2016-06-13,69,False
2016-06-14,64,False
2016-06-15,64,False
2016-06-16,61,False
2016-06-17,63,False
2016-06-18,69,False
2016-06-19,76,False
2016-06-20,66,False
2016-06-21,64,False
2016-06-22,62,False
2016-06-23,63,False
2016-06-24,60,False
2016-06-25,70,False
2016-06-26,73,False
2016-06-27,64,False
2016-06-28,67,False
2016-06-29,65,False
2016-06-30,65,False
2016-07-01,64,False
2016-07-02,66,False
2016-07-03,74,False
2016-07-04,67,False
2016-07-05,64,False
2016-07-06,67,False
2016-07-07,64,False
2016-07-08,64,False
2016-07-09,70,False
2016-07-10,72,False
2016-07-11,65,False
2016-07-12,67,False
2016-07-13,66,False
2016-07-14,62,False
2016-07-15,62,False
2016-07-16,66,False
2016-07-17,76,False
2016-07-18,66,False
2016-07-19,64,False
2016-07-20,66,False
2016-07-21,66,False
2016-07-22,60,False
2016-07-23,68,False
2016-07-24,76,False
2016-07-25,66,False
2016-07-26,67,False
2016-07-27,63,False
2016-07-28,68,False
2016-07-29,64,False
2016-07-30,67,False
2016-07-31,78,False
2016-08-01,70,False
2016-08-02,69,False
2016-08-03,68,False
2016-08-04,65,False
2016-08-05,65,False
2016-08-06,66,False
2016-08-07,72,False
2016-08-08,67,False
2016-08-09,63,False
2016-08-10,65,False
2016-08-11,65,False
2016-08-12,64,False
2016-08-13,65,False
2016-08-14,71,False
2016-08-15,66,False
2016-08-16,63,False
2016-08-17,63,False
2016-08-18,61,False
2016-08-19,62,False
2016-08-20,66,False
2016-08-21,75,False
2016-08-22,66,False
2016-08-23,62,False
2016-08-24,62,False
2016-08-25,64,False
2016-08-26,63,False
2016-08-27,67,False
2016-08-28,74,False
2016-08-29,68,False
2016-08-30,65,False
2016-08-31,66,False
2016-09-01,63,False
2016-09-02,62,False
2016-09-03,71,False
2016-09-04,78,False
2016-09-05,69,False
2016-09-06,66,False
2016-09-07,63,False
2016-09-08,63,False
2016-09-09,63,False
2016-09-10,68,False
2016-09-11,74,False
