date,stock scandal,isPartial
2015-12-26,3,False
2015-12-27,1,False
2015-12-28,0,False
2015-12-29,4,False
2015-12-30,1,False
2015-12-31,1,False
2016-01-01,2,False
2016-01-02,0,False
2016-01-03,4,False
2016-01-04,1,False
2016-01-05,2,False
2016-01-06,2,False
2016-01-07,2,False
2016-01-08,0,False
2016-01-09,1,False
2016-01-10,1,False
2016-01-11,3,False
2016-01-12,6,False
2016-01-13,1,False
2016-01-14,2,False
2016-01-15,4,False
2016-01-16,1,False
2016-01-17,1,False
2016-01-18,1,False
2016-01-19,2,False
2016-01-20,1,False
2016-01-21,2,False
2016-01-22,4,False
2016-01-23,1,False
2016-01-24,1,False
2016-01-25,1,False
2016-01-26,2,False
2016-01-27,4,False
2016-01-28,2,False
2016-01-29,0,False
2016-01-30,0,False
2016-01-31,3,False
2016-02-01,2,False
2016-02-02,1,False
2016-02-03,7,False
2016-02-04,0,False
2016-02-05,2,False
2016-02-06,3,False
2016-02-07,3,False
2016-02-08,2,False
2016-02-09,1,False
2016-02-10,2,False
2016-02-11,6,False
2016-02-12,1,False
2016-02-13,0,False
2016-02-14,4,False
2016-02-15,6,False
2016-02-16,3,False
2016-02-17,0,False
2016-02-18,1,False
2016-02-19,1,False
2016-02-20,3,False
2016-02-21,1,False
2016-02-22,3,False
2016-02-23,3,False
2016-02-24,0,False
2016-02-25,1,False
2016-02-26,4,False
2016-02-27,4,False
2016-02-28,0,False
2016-02-29,0,False
2016-03-01,2,False
2016-03-02,2,False
2016-03-03,2,False
2016-03-04,0,False
2016-03-05,1,False
2016-03-06,1,False
2016-03-07,3,False
2016-03-08,5,False
2016-03-09,2,False
2016-03-10,2,False
2016-03-11,1,False
2016-03-12,0,False
2016-03-13,3,False
2016-03-14,7,False
2016-03-15,5,False
2016-03-16,6,False
2016-03-17,4,False
2016-03-18,2,False
2016-03-19,0,False
2016-03-20,5,False
2016-03-21,5,False
2016-03-22,6,False
2016-03-23,0,False
2016-03-24,2,False
2016-03-25,9,False
2016-03-26,3,False
2016-03-27,1,False
2016-03-28,2,False
2016-03-29,8,False
2016-03-30,2,False
2016-03-31,1,False
2016-04-01,2,False
2016-04-02,3,False
2016-04-03,1,False
2016-04-04,5,False
2016-04-05,4,False
2016-04-06,2,False
2016-04-07,2,False
2016-04-08,1,False
2016-04-09,4,False
2016-04-10,1,False
2016-04-11,2,False
2016-04-12,7,False
2016-04-13,6,False
2016-04-14,2,False
2016-04-15,2,False
2016-04-16,0,False
2016-04-17,3,False
2016-04-18,8,False
2016-04-19,2,False
