date,stock scandal
2011-05-11,0
2011-05-12,51
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,25
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,25
2011-05-25,0
2011-05-26,25
2011-05-27,0
2011-05-28,33
2011-05-29,0
2011-05-30,27
2011-05-31,50
2011-06-01,26
2011-06-02,80
2011-06-03,0
2011-06-04,33
2011-06-05,64
2011-06-06,25
2011-06-07,0
2011-06-08,51
2011-06-09,0
2011-06-10,27
2011-06-11,0
2011-06-12,0
2011-06-13,51
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,54
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,51
2011-06-23,26
2011-06-24,0
2011-06-25,33
2011-06-26,0
2011-06-27,0
2011-06-28,0
2011-06-29,50
2011-06-30,0
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,26
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,67
2011-07-10,0
2011-07-11,25
2011-07-12,77
2011-07-13,52
2011-07-14,26
2011-07-15,27
2011-07-16,33
2011-07-17,0
2011-07-18,26
2011-07-19,50
2011-07-20,0
2011-07-21,0
2011-07-22,27
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,100
2011-07-27,0
2011-07-28,51
2011-07-29,27
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,51
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,31
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,25
2011-08-12,27
2011-08-13,33
2011-08-14,0
2011-08-15,53
2011-08-16,0
2011-08-17,26
2011-08-18,25
2011-08-19,0
2011-08-20,0
2011-08-21,62
2011-08-22,74
2011-08-23,48
2011-08-24,0
2011-08-25,0
2011-08-26,0
2011-08-27,0
2011-08-28,30
2011-08-29,0
2011-08-30,0
2011-08-31,25
2011-09-01,25
2011-09-02,0
2011-09-03,0
2011-09-04,29
2011-09-05,48
2011-09-06,23
2011-09-07,71
2011-09-08,0
2011-09-09,0
2011-09-10,0
2011-09-11,0
2011-09-12,23
2011-09-13,0
2011-09-14,23
2011-09-15,0
2011-09-16,0
2011-09-17,29
2011-09-18,56
2011-09-19,23
2011-09-20,0
2011-09-21,23
2011-09-22,23
2011-09-23,0
2011-09-24,0
2011-09-25,86
2011-09-26,46
2011-09-27,0
2011-09-28,92
2011-09-29,23
2011-09-30,24
2011-10-01,0
2011-10-02,29
2011-10-03,70
2011-10-04,23
2011-10-05,0
2011-10-06,0
2011-10-07,0
2011-10-08,28
2011-10-09,28
2011-10-10,23
2011-10-11,0
2011-10-12,22
2011-10-13,46
2011-10-14,48
2011-10-15,0
2011-10-16,0
2011-10-17,22
2011-10-18,45
2011-10-19,67
2011-10-20,23
2011-10-21,0
2011-10-22,0
2011-10-23,27
2011-10-24,0
2011-10-25,22
2011-10-26,23
2011-10-27,0
2011-10-28,24
2011-10-29,28
2011-10-30,0
2011-10-31,0
2011-11-01,0
2011-11-02,68
2011-11-03,23
2011-11-04,23
2011-11-05,0
2011-11-06,0
2011-11-07,0
2011-11-08,22
2011-11-09,67
2011-11-10,68
2011-11-11,48
2011-11-12,55
2011-11-13,27
2011-11-14,44
2011-11-15,67
2011-11-16,67
2011-11-17,44
2011-11-18,24
2011-11-19,0
2011-11-20,0
2011-11-21,22
2011-11-22,66
2011-11-23,0
2011-11-24,24
2011-11-25,24
2011-11-26,27
2011-11-27,26
2011-11-28,43
2011-11-29,22
2011-11-30,0
2011-12-01,44
2011-12-02,23
2011-12-03,0
2011-12-04,0
2011-12-05,22
2011-12-06,87
2011-12-07,44
2011-12-08,22
2011-12-09,23
2011-12-10,0
2011-12-11,53
2011-12-12,65
2011-12-13,22
2011-12-14,0
2011-12-15,0
2011-12-16,0
2011-12-17,27
2011-12-18,27
2011-12-19,0
2011-12-20,0
2011-12-21,23
2011-12-22,24
2011-12-23,26
2011-12-24,0
2011-12-25,0
2011-12-26,0
2011-12-27,0
2011-12-28,23
2011-12-29,0
2011-12-30,0
2011-12-31,0
2012-01-01,0
2012-01-02,0
2012-01-03,22
2012-01-04,65
2012-01-05,22
2012-01-06,45
2012-01-07,51
2012-01-08,25
2012-01-09,21
2012-01-10,83
2012-01-11,83
2012-01-12,0
2012-01-13,44
2012-01-14,0
2012-01-15,0
2012-01-16,21
2012-01-17,42
2012-01-18,41
2012-01-19,42
2012-01-20,43
2012-01-21,0
2012-01-22,0
2012-01-23,21
2012-01-24,0
2012-01-25,21
2012-01-26,21
